Timestamp for sample frequency every 1 min,Temperature (°C),Relative Humidity (%)
2025-09-04 00:00:00,13.2100,83.8125
2025-09-04 00:01:00,13.2375,83.9025
2025-09-04 00:02:00,13.2125,83.4525
2025-09-04 00:03:00,13.2100,84.0900
2025-09-04 00:04:00,13.2075,84.1475
2025-09-04 00:05:00,13.2150,83.8425
2025-09-04 00:06:00,13.1925,83.9525
2025-09-04 00:07:00,13.2175,84.1775
2025-09-04 00:08:00,13.2175,84.1600
2025-09-04 00:09:00,13.2250,83.9175
2025-09-04 00:10:00,13.2200,84.1475
2025-09-04 00:11:00,13.2125,84.2725
2025-09-04 00:12:00,13.2400,83.8175
2025-09-04 00:13:00,13.2175,83.9950
2025-09-04 00:14:00,13.2075,83.9700
2025-09-04 00:15:00,13.2125,83.7025
2025-09-04 00:16:00,13.2050,84.4325
2025-09-04 00:17:00,13.2200,84.1850
2025-09-04 00:18:00,13.1975,84.0175
2025-09-04 00:19:00,13.2100,84.1475
2025-09-04 00:20:00,13.2000,84.3000
2025-09-04 00:21:00,13.2100,84.2500
2025-09-04 00:22:00,13.1925,83.9375
2025-09-04 00:23:00,13.2200,84.1750
2025-09-04 00:24:00,13.2025,84.3250
2025-09-04 00:25:00,13.2100,84.1775
2025-09-04 00:26:00,13.2300,84.3900
2025-09-04 00:27:00,13.2175,84.0625
2025-09-04 00:28:00,13.2300,83.9575
2025-09-04 00:29:00,13.2175,84.3975
2025-09-04 00:30:00,13.2050,84.1100
2025-09-04 00:31:00,13.2075,83.9750
2025-09-04 00:32:00,13.2300,84.2025
2025-09-04 00:33:00,13.2175,84.2675
2025-09-04 00:34:00,13.2250,83.8650
2025-09-04 00:35:00,13.2175,83.9950
2025-09-04 00:36:00,13.2200,83.7550
2025-09-04 00:37:00,13.2050,84.1950
2025-09-04 00:38:00,13.2125,84.4975
2025-09-04 00:39:00,13.2275,84.1725
2025-09-04 00:40:00,13.2425,84.1025
2025-09-04 00:41:00,13.2200,83.7700
2025-09-04 00:42:00,13.2075,83.9375
2025-09-04 00:43:00,13.2200,84.4700
2025-09-04 00:44:00,13.2250,84.2500
2025-09-04 00:45:00,13.2200,84.2300
2025-09-04 00:46:00,13.2450,84.2850
2025-09-04 00:47:00,13.2350,84.0800
2025-09-04 00:48:00,13.2300,84.3225
2025-09-04 00:49:00,13.2450,84.0450
2025-09-04 00:50:00,13.2375,84.1725
2025-09-04 00:51:00,13.2250,84.5325
