Timestamp for sample frequency every 1 min,Temperature (°C),Relative Humidity (%)
2025-09-11 00:00:00,13.8900,82.0850
2025-09-11 00:01:00,13.8850,82.0375
2025-09-11 00:02:00,13.8600,82.1525
2025-09-11 00:03:00,13.8800,82.1175
2025-09-11 00:04:00,13.8850,82.0975
2025-09-11 00:05:00,13.8700,82.1750
2025-09-11 00:06:00,13.8825,82.2975
2025-09-11 00:07:00,13.8725,82.2000
2025-09-11 00:08:00,13.8800,82.2650
2025-09-11 00:09:00,13.9050,82.2800
2025-09-11 00:10:00,13.8775,82.2950
2025-09-11 00:11:00,13.8950,82.3300
2025-09-11 00:12:00,13.8750,82.3100
2025-09-11 00:13:00,13.8775,82.3925
2025-09-11 00:14:00,13.8700,82.2800
2025-09-11 00:15:00,13.8675,82.4000
2025-09-11 00:16:00,13.8750,82.4175
2025-09-11 00:17:00,13.8850,82.4125
2025-09-11 00:18:00,13.9025,82.4275
2025-09-11 00:19:00,13.8975,82.4150
2025-09-11 00:20:00,13.8775,82.4325
2025-09-11 00:21:00,13.8750,82.4475
2025-09-11 00:22:00,13.8800,82.3450
2025-09-11 00:23:00,13.8800,82.4975
2025-09-11 00:24:00,13.8925,82.5050
2025-09-11 00:25:00,13.9025,82.4800
2025-09-11 00:26:00,13.9000,82.4975
2025-09-11 00:27:00,13.8825,82.4225
2025-09-11 00:28:00,13.8850,82.5450
2025-09-11 00:29:00,13.9050,82.6300
2025-09-11 00:30:00,13.8900,82.6175
2025-09-11 00:31:00,13.9050,82.5450
2025-09-11 00:32:00,13.8750,82.6375
2025-09-11 00:33:00,13.9000,82.5950
2025-09-11 00:34:00,13.8800,82.5450
2025-09-11 00:35:00,13.8900,82.5225
2025-09-11 00:36:00,13.8800,82.4375
2025-09-11 00:37:00,13.8750,82.5475
2025-09-11 00:38:00,13.8750,82.4100
2025-09-11 00:39:00,13.8850,82.3900
2025-09-11 00:40:00,13.8775,82.4850
2025-09-11 00:41:00,13.8650,82.4675
2025-09-11 00:42:00,13.8750,82.3600
2025-09-11 00:43:00,13.8700,82.4825
2025-09-11 00:44:00,13.8600,82.4400
2025-09-11 00:45:00,13.8425,82.4025
2025-09-11 00:46:00,13.8625,82.3950
2025-09-11 00:47:00,13.8675,82.4125
2025-09-11 00:48:00,13.8475,82.5600
2025-09-11 00:49:00,13.8775,82.4200
2025-09-11 00:50:00,13.8525,82.3750
2025-09-11 00:51:00,13.8775,82.4100
2025-09-11 00:52:00,13.8750,82.3000
2025-09-11 00:53:00,13.8900,82.3850
2025-09-11 00:54:00,13.8750,82.4300
2025-09-11 00:55:00,13.8825,82.2975
2025-09-11 00:56:00,13.8850,82.3200
2025-09-11 00:57:00,13.8800,82.2475
2025-09-11 00:58:00,13.9075,82.2550
2025-09-11 00:59:00,13.8850,82.0800
2025-09-11 01:00:00,13.8775,82.1900
2025-09-11 01:01:00,13.9025,82.1850
2025-09-11 01:02:00,13.8550,82.1525
2025-09-11 01:03:00,13.8700,82.2775
2025-09-11 01:04:00,13.8650,82.1525
2025-09-11 01:05:00,13.8475,82.1600
2025-09-11 01:06:00,13.8575,82.2425
2025-09-11 01:07:00,13.8625,82.2800
2025-09-11 01:08:00,13.8850,82.2350
2025-09-11 01:09:00,13.8775,82.2675
2025-09-11 01:10:00,13.8900,82.3425
2025-09-11 01:11:00,13.9050,82.2475
2025-09-11 01:12:00,13.8800,82.1950
2025-09-11 01:13:00,13.8775,82.3500
2025-09-11 01:14:00,13.8850,82.4650
2025-09-11 01:15:00,13.9000,82.2600
2025-09-11 01:16:00,13.8700,82.3700
2025-09-11 01:17:00,13.8475,82.2475
2025-09-11 01:18:00,13.8650,82.4725
2025-09-11 01:19:00,13.9025,82.2775
2025-09-11 01:20:00,13.8725,82.5025
2025-09-11 01:21:00,13.8700,82.5575
2025-09-11 01:22:00,13.8700,82.4825
2025-09-11 01:23:00,13.8850,82.4275
2025-09-11 01:24:00,13.8650,82.2500
2025-09-11 01:25:00,13.8650,82.2975
2025-09-11 01:26:00,13.8575,82.5100
2025-09-11 01:27:00,13.8725,82.4325
2025-09-11 01:28:00,13.8925,82.3700
2025-09-11 01:29:00,13.8900,82.2725
2025-09-11 01:30:00,13.8775,82.4275
2025-09-11 01:31:00,13.8775,82.4425
2025-09-11 01:32:00,13.8850,82.2250
2025-09-11 01:33:00,13.8575,82.3075
2025-09-11 01:34:00,13.8650,82.4500
