Bat_ID	DateType	ExperimentDay	Sex	Treatment	Group	Capture_Site	Temp_norm	Handled	Total_AUC	valid_counts	Weight	Cage	Tnorm	sd_tnorm	Day_min	Day_max	HyperAUC	HypoAUC	Hyper_Count	Hypo_Count	Handling_minutes	Day_Num
APS36007	Basal TC-1	D-8	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	Yes	82.2552419099636	144	26.1	None	31.08573493271189	0.5520777067550579	30.472447962894034	38.41802588255504	82.31811966000112	-0.06287775003751926	143	1	NA	-8
APS36007	Basal TC	D-7	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	Yes	-114.60270819224957	144	26.3	Dual	31.08573493271189	0.5520777067550579	15.574489363529647	36.43163140263979	18.52851265553243	-133.131220847782	45	99	195	-7
APS36007	Basal TC + 1	D-6	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	Yes	57.33756193487271	144	26.4	None	31.08573493271189	0.5520777067550579	28.486053482978786	36.43163140263979	59.7477547343323	-2.410192799459587	132	12	108	-6
APS36007	Pre	D-4	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	Yes	16.442764899341462	144	26.099999999999998	None	31.08573493271189	0.5520777067550579	24.51326452314828	36.9282300226186	39.981592317962445	-23.53882741862098	108	36	NA	-4
APS36007	Pre	D-3	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	Yes	-3.5907186686718258	144	25.95	None	31.08573493271189	0.5520777067550579	25.506461763105907	35.438434162682164	12.850905826299607	-16.441624494971432	80	64	29	-3
APS36007	Pre	D-2	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	Yes	33.82719278893976	144	25.8	None	31.08573493271189	0.5520777067550579	27.98945486299997	35.438434162682164	39.43875983783639	-5.6115670488966325	114	30	26	-2
APS36007	Primary - 1	D-1	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	Yes	-10.130574874758787	144	25.65	None	31.08573493271189	0.5520777067550579	26.499659003063535	36.43163140263979	18.400528183279647	-28.531103058038436	76	68	25	-1
APS36007	Primary	D0	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	Yes	-44.1543837444012	144	25.5	D+P2	31.08573493271189	0.5520777067550579	19.050679703381338	38.41802588255504	31.025582107754428	-75.17996585215563	49	95	176	0
APS36007	Primary + 1	D1	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	Yes	27.12177060295185	144	24.2	None	31.08573493271189	0.5520777067550579	27.49285624302116	36.43163140263979	32.067911701946066	-4.946141098994217	118	26	166	1
APS36007	Primary + 2	D2	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	Yes	3.0319205273656205	144	25.5	None	31.08573493271189	0.5520777067550579	26.499659003063535	33.452039682766916	15.841512613533387	-12.809592086167767	93	51	180	2
APS36007	Primary + 3	D3	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	Yes	-55.99235130731813	144	25.63684210526316	None	31.08573493271189	0.5520777067550579	23.023468663211844	36.43163140263979	8.329461682010566	-64.3218129893287	40	104	NA	3
APS36007	None	D4	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	No	-41.58811105593668	144	25.773684210526316	None	31.08573493271189	0.5520777067550579	23.520067283190656	34.44523692272454	14.148271306875877	-55.736382362812556	62	82	NA	4
APS36007	None	D5	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	No	-59.469236885237784	144	25.910526315789475	None	31.08573493271189	0.5520777067550579	23.023468663211844	35.438434162682164	13.22091520780645	-72.69015209304423	57	87	NA	5
APS36007	None	D6	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	No	-35.37938680965158	144	26.04736842105263	None	31.08573493271189	0.5520777067550579	24.51326452314828	35.93503278266098	14.08855558713703	-49.46794239678861	59	85	NA	6
APS36007	None	D7	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	No	22.734272135577033	144	26.18421052631579	None	31.08573493271189	0.5520777067550579	26.499659003063535	36.9282300226186	33.517261983107666	-10.782989847530631	91	53	NA	7
APS36007	None	D8	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	No	-48.7902311816274	144	26.321052631578947	None	31.08573493271189	0.5520777067550579	22.52687004323303	36.9282300226186	14.704684966317538	-63.494916147944934	65	79	NA	8
APS36007	None	D9	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	No	-48.541882211776	144	26.457894736842107	None	31.08573493271189	0.5520777067550579	24.01666590316947	35.93503278266098	7.680778941722434	-56.22266115349843	49	95	NA	9
APS36007	None	D10	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	No	-54.00555954850689	144	26.594736842105263	None	31.08573493271189	0.5520777067550579	23.520067283190656	33.452039682766916	8.419501790679305	-62.42506133918619	57	87	NA	10
APS36007	None	D11	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	No	-47.63126932232083	144	26.731578947368423	None	31.08573493271189	0.5520777067550579	23.023468663211844	34.94183554270335	8.545257290754348	-56.17652661307518	55	89	NA	11
APS36007	None	D12	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	No	-95.06592256393908	144	26.86842105263158	None	31.08573493271189	0.5520777067550579	22.52687004323303	31.962243822830477	1.0865980183730248	-96.1525205823121	13	131	NA	12
APS36007	None	D13	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	No	-73.4595621868669	144	27.00526315789474	None	31.08573493271189	0.5520777067550579	22.030271423254217	35.93503278266098	6.603667014245425	-80.06322920111232	24	120	NA	13
APS36007	None	D14	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	No	-37.28339557851234	144	27.142105263157895	None	31.08573493271189	0.5520777067550579	23.520067283190656	35.438434162682164	14.999168476592182	-52.28256405510452	59	85	NA	14
APS36007	None	D15	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	No	-72.46616630746128	144	27.278947368421054	None	31.08573493271189	0.5520777067550579	22.52687004323303	32.458842442809285	1.8022535971182758	-74.26841990457956	24	120	NA	15
APS36007	None	D16	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	No	-43.409336834846975	144	27.41578947368421	None	31.08573493271189	0.5520777067550579	23.023468663211844	32.9554410627881	6.02511914271307	-49.43445597756004	49	95	NA	16
APS36007	None	D17	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	No	-53.42607861885361	144	27.55263157894737	None	31.08573493271189	0.5520777067550579	23.520067283190656	34.44523692272454	7.375876282430853	-60.80195490128446	42	102	NA	17
APS36007	None	D18	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	No	-55.57843635756578	144	27.689473684210526	None	31.08573493271189	0.5520777067550579	23.023468663211844	33.452039682766916	3.0209311761636783	-58.599367533729456	27	117	NA	18
APS36007	None	D19	Female	CP+S	GP 2	Warriors Mark Farmhouse	30.849639024906747	No	-41.0086301262834	144	27.826315789473686	None	31.08573493271189	0.5520777067550579	24.01666590316947	36.43163140263979	8.865970101539277	-49.874600227822675	42	102	NA	19
APS36008	Primary - 1	D-1	Male	NoCo	GP 2	Old Danville Highway Barn	31.90291967182372	Yes	-28.527654100834475	140	21.65	None	31.71983632073778	0.5988760486280327	25.403370839193624	37.31958274730427	14.456304085295521	-42.983958186129996	59	81	25	-1
APS36008	Primary	D0	Male	NoCo	GP 2	Old Danville Highway Barn	31.90291967182372	Yes	71.34338628249667	144	20.7	None	31.71983632073778	0.5988760486280327	27.885914986716674	39.305618065322705	72.44184208485609	-1.0984558023594304	141	3	294	0
APS36008	Primary + 2	D2	Male	NoCo	GP 2	Old Danville Highway Barn	31.90291967182372	Yes	-55.04338312584838	144	21.1	None	31.71983632073778	0.5988760486280327	24.410353180184405	32.85100328176277	0.4591556013705277	-55.502538727218905	5	139	184	2
APS36008	Primary + 3	D3	Male	NoCo	GP 2	Old Danville Highway Barn	31.90291967182372	Yes	-36.255042159447385	144	21.236842105263158	None	31.71983632073778	0.5988760486280327	24.906862009689014	33.347512111267385	4.448119031789966	-40.703161191237356	36	108	NA	3
APS36008	None	D4	Male	NoCo	GP 2	Old Danville Highway Barn	31.90291967182372	No	-65.22384981689385	144	21.373684210526317	None	31.71983632073778	0.5988760486280327	23.417335521175183	33.844020940772	2.415998558631039	-67.63984837552489	20	124	NA	4
APS36008	None	D5	Male	NoCo	GP 2	Old Danville Highway Barn	31.90291967182372	No	-83.92942276141642	144	21.510526315789473	None	31.71983632073778	0.5988760486280327	22.424317862165964	37.31958274730427	11.56616891333397	-95.49559167475039	36	108	NA	5
APS36008	None	D6	Male	NoCo	GP 2	Old Danville Highway Barn	31.90291967182372	No	-3.5616735174720837	144	21.647368421052633	None	31.71983632073778	0.5988760486280327	22.920826691670573	37.31958274730427	27.76060145807627	-31.322274975548353	95	49	NA	6
APS36008	None	D7	Male	NoCo	GP 2	Old Danville Highway Barn	31.90291967182372	No	-49.415157638115915	144	21.78421052631579	None	31.71983632073778	0.5988760486280327	23.913844350679796	36.823073917799654	15.938637973127058	-65.35379561124297	60	84	NA	7
APS36008	None	D8	Male	NoCo	GP 2	Old Danville Highway Barn	31.90291967182372	No	-55.705527300875715	144	21.92105263157895	None	31.71983632073778	0.5988760486280327	21.927809032661354	36.32656508829505	15.163391296202853	-70.86891859707858	53	91	NA	8
APS36008	None	D9	Male	NoCo	GP 2	Old Danville Highway Barn	31.90291967182372	No	-65.22384981689385	144	22.057894736842105	None	31.71983632073778	0.5988760486280327	23.417335521175183	34.3405297702766	8.331098010194097	-73.55494782708794	48	96	NA	9
APS36008	None	D10	Male	NoCo	GP 2	Old Danville Highway Barn	31.90291967182372	No	-65.38938586065068	144	22.194736842105264	None	31.71983632073778	0.5988760486280327	22.424317862165964	36.823073917799654	14.07242599982342	-79.4618118604741	55	89	NA	10
APS36008	None	D11	Male	NoCo	GP 2	Old Danville Highway Barn	31.90291967182372	No	-61.74759289800027	144	22.33157894736842	None	31.71983632073778	0.5988760486280327	22.920826691670573	34.837038599781216	15.833770889407111	-77.58136378740738	74	70	NA	11
APS36008	None	D12	Male	NoCo	GP 2	Old Danville Highway Barn	31.90291967182372	No	-52.394806425738985	144	22.46842105263158	None	31.71983632073778	0.5988760486280327	22.424317862165964	35.33354742928583	13.267589755077676	-65.66239618081666	63	81	NA	12
