Bat_ID	DateTime	NumberDate	Temperature	DateType	Treatment	Group	Sex	Handled	ExperimentDay	Cage	Handling_minutes	Capture_Site	Weight	Day_Num	time_aligned	NumberDate_shifted
APS36007	2025-09-01T14:00:01Z	1756735201	34.44523692272454	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T14:00:01Z	1756994401
APS36007	2025-09-01T14:10:01Z	1756735801	34.44523692272454	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T14:10:01Z	1756995001
APS36007	2025-09-01T14:20:01Z	1756736401	34.44523692272454	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T14:20:01Z	1756995601
APS36007	2025-09-01T14:30:01Z	1756737001	34.44523692272454	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T14:30:01Z	1756996201
APS36007	2025-09-01T14:40:01Z	1756737601	34.44523692272454	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T14:40:01Z	1756996801
APS36007	2025-09-01T14:50:01Z	1756738201	34.94183554270335	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T14:50:01Z	1756997401
APS36007	2025-09-01T15:00:01Z	1756738801	35.93503278266098	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T15:00:01Z	1756998001
APS36007	2025-09-01T15:10:01Z	1756739401	35.93503278266098	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T15:10:01Z	1756998601
APS36007	2025-09-01T15:20:01Z	1756740001	35.93503278266098	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T15:20:01Z	1756999201
APS36007	2025-09-01T15:30:01Z	1756740601	35.438434162682164	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T15:30:01Z	1756999801
APS36007	2025-09-01T15:40:01Z	1756741201	35.93503278266098	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T15:40:01Z	1757000401
APS36007	2025-09-01T15:50:01Z	1756741801	35.438434162682164	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T15:50:01Z	1757001001
APS36007	2025-09-01T16:00:01Z	1756742401	35.93503278266098	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T16:00:01Z	1757001601
APS36007	2025-09-01T16:10:01Z	1756743001	33.452039682766916	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T16:10:01Z	1757002201
APS36007	2025-09-01T16:20:01Z	1756743601	30.472447962894034	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T16:20:01Z	1757002801
APS36007	2025-09-01T16:30:01Z	1756744201	30.96904658287285	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T16:30:01Z	1757003401
APS36007	2025-09-01T16:40:01Z	1756744801	29.975849342915225	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T16:40:01Z	1757004001
APS36007	2025-09-01T16:50:01Z	1756745401	29.47925072293641	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T16:50:01Z	1757004601
APS36007	2025-09-01T17:00:01Z	1756746001	29.975849342915225	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T17:00:01Z	1757005201
APS36007	2025-09-01T17:10:01Z	1756746601	30.96904658287285	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T17:10:01Z	1757005801
APS36007	2025-09-01T17:20:01Z	1756747201	31.465645202851665	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T17:20:01Z	1757006401
APS36007	2025-09-01T17:30:01Z	1756747801	31.465645202851665	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T17:30:01Z	1757007001
APS36007	2025-09-01T17:40:01Z	1756748401	29.47925072293641	Basal TC	CP+S	GP 2	Female	Yes	D-7	Dual	195	Warriors Mark Farmhouse	26.3	-7	2025-09-04T17:40:01Z	1757007601
