Serial Number	Logger Name	Bat Band	Bat Pittag	Treatment	Group	Sex	Date Attached	Date Removed	BUTT Status	Calibration	Experiment D Died	Logger location	Bat_ID	Filename
CB0000008183CC41	A2	DMR03152	APS36021	Primary	GP 2	Male	2025-09-02T00:00:00Z	2025-10-17T00:00:00Z	Downloaded	1	D36	NA	APS36021	APS36021.csv
7F000000818B3741	A3	DMR03191	APS36108	Dual	GP 2	Male	2025-09-02T00:00:00Z	2025-10-17T00:00:00Z	Downloaded	1	D36	NA	APS36108	APS36108.csv
200000081173241	A5	DMR03162	APS36106	Dual	GP 1	Female	2025-09-02T00:00:00Z	2025-09-29T00:00:00Z	Downloaded	1	D36	NA	APS36106	APS36106.csv
46000000811E9741	A8	DMR03182	APS60132	Dual	GP 1	Female	2025-09-02T00:00:00Z	2025-10-14T00:00:00Z	Downloaded	1	D36	NA	APS60132	APS60132.csv
DF00000081814041	B1	DMR03181	APS60135	SHAM	GP 2	Female	2025-09-09T00:00:00Z	2025-10-17T00:00:00Z	Downloaded	1	D36	Off-centered	APS60135	APS60135.csv
0700000081190F41	B3	DMR03155	APS36033	SHAM	GP 2	Female	2025-09-09T00:00:00Z	2025-10-17T00:00:00Z	Downloaded	1	D36	NA	APS36033	APS36033.csv
D8000000818C4541	B4	DMR03185	APS36103	Secondary	GP 1	Female	2025-09-02T00:00:00Z	2025-10-14T00:00:00Z	Downloaded	1	D36	NA	APS36103	APS36103.csv
6100000081222041	B7	DMR03195	APS60081	NoCo	GP 1	Male	2025-09-06T00:00:00Z	2025-09-29T00:00:00Z	Downloaded	1	D36	NA	APS60081	APS60081.csv
63000000811C2F41	B8	DMR03180	APS60146	SHAM	GP 2	Male	2025-09-09T00:00:00Z	2025-10-17T00:00:00Z	Downloaded	1	D36	NA	APS60146	APS60146.csv
CD00000081881A41	B9	DMR03158	APS36010_boost	Dual	GP 2	Male	2025-10-02T00:00:00Z	2025-10-17T00:00:00Z	Downloaded	1	D36	NA	APS36010_boost	APS36010_boost.csv
AC00000081223941	C1	DMR03184	APS60160	Primary	GP 1	Female	2025-09-02T00:00:00Z	2025-10-14T00:00:00Z	Downloaded	1	D36	NA	APS60160	APS60160.csv
0C00000081829341	C3	DMR03193	APS36008	NoCo	GP 2	Male	2025-09-09T00:00:00Z	2025-10-17T00:00:00Z	Downloaded	1	D36	Butt	APS36008	APS36008.csv
