"","DateType","Primary_Treatment","emmean","SE","df","lower.CL","upper.CL"
"1","None","Primary_Cold",-59.7807814915972,17.6803551538264,1.09211122621674,-244.250938804274,124.68937582108
"2","Primary - 1","Primary_Cold",-32.5125543314602,21.5506328594609,2.40319761017335,-111.814766497188,46.7896578342673
"3","Primary","Primary_Cold",-29.3919027120526,21.5071252399663,2.38537253566691,-108.981218483448,50.1974130593426
"4","Primary + 1","Primary_Cold",32.7260039865647,21.5861263467298,2.41781321262201,-46.3463100840242,111.798318057154
"5","Primary + 2","Primary_Cold",29.3684282690063,21.5492242052151,2.40261892262665,-49.942987568871,108.679844106884
"6","Primary + 3","Primary_Cold",-3.91082815903199,21.5097822065749,2.38645823950199,-83.4824414463866,75.6607851283226
"7","None","Primary_NoCo",-82.1565544124588,18.720292351789,1.36241420817793,-212.185014687164,47.8719058622462
"8","Primary - 1","Primary_NoCo",-12.5184189475891,24.1636717326819,3.77677725205224,-81.200648405778,56.1638105105998
"9","Primary","Primary_NoCo",70.5172719124797,24.1713270373352,3.78046907465282,1.84168080987592,139.192863015083
"10","Primary + 1","Primary_NoCo",-2.35454623111352,25.3763213097449,4.56472004788402,-69.5025469359667,64.7934544737397
"11","Primary + 2","Primary_NoCo",-51.0062507474236,24.1984485731356,3.79406999392968,-119.654798550198,17.6422970553512
"12","Primary + 3","Primary_NoCo",-22.9399628423756,25.3304328458649,4.55608662700593,-90.0091897174533,44.1292640327021
"13","None","SHAM",-66.238423265515,19.7042806209243,1.56520158606281,-178.117129245746,45.6402827147163
"14","Primary - 1","SHAM",25.6297495032882,25.9423158390316,4.82477905039205,-41.7921621782173,93.0516611847937
"15","Primary","SHAM",68.5692672345218,25.9142388859861,4.81733443777532,1.18763855715363,135.95089591189
"16","Primary + 1","SHAM",13.9344207813605,25.9476434771484,4.82689067011168,-53.492076783583,81.3609183463039
"17","Primary + 2","SHAM",-9.17198656744836,25.9323295608365,4.82118590544352,-76.5837161132287,58.2397429783319
"18","Primary + 3","SHAM",-38.2151490549452,25.9388917907269,4.82348599989668,-105.633835528882,29.203537418992
