"","contrast","estimate","SE","df","t.ratio","p.value"
"1","SvN_P",1.94800467804896,27.0352742868525,194.618520817033,0.0720541858528986,0.942632779522244
"2","SvN_1",-16.2889670123093,28.3207191362396,209.69792567694,-0.575160783663354,0.640137816451952
"3","SvN_2",-41.8342641798459,27.1209520031777,194.187270301125,-1.54250721637442,0.321126113676394
"4","SvN_3",15.2751862126691,28.0623347620394,209.465750465171,0.544330553469563,0.640137816451952
"5","NvC_P",-99.9091746244952,22.2260812233976,233.432872278015,-4.49513225567267,0.000131412973204821
"6","NvC_1",35.080550217699,23.4154731888767,257.938699610164,1.49817814633631,0.321126113676394
"7","NvC_2",80.3746790164635,22.2217889047998,233.51221215861,3.61693108330728,0.00219185899911899
"8","NvC_3",19.0291346833999,23.4373628173768,250.575092227686,0.811914498728985,0.556815081053287
"9","SvN_None",-15.9181311468686,14.3428990296484,18.8599263664814,-1.10982661970666,0.481756449331951
"10","NvC_None",22.3757729208808,10.7703413928192,19.2902966604912,2.07753608774177,0.205361642105882
"11","SvN_-1",-38.1481684507629,27.0831181676123,194.390691372662,-1.40855894859192,0.321126113676394
"12","NvC_-1",-19.994135383814,22.2585779617255,232.862058444716,-0.898266520808056,0.554956973828167
