"","contrast","Primary_Treatment","estimate","SE","df","t.ratio","p.value"
"1","None - (Primary - 1)","Primary_Cold",-27.268227160137,13.1809036753596,394.193721523235,-2.06876765294267,0.058828979786757
"2","None - Primary","Primary_Cold",-30.3888787795446,13.0985023739106,392.235679832267,-2.32002697041708,0.0390973676987273
"3","None - (Primary + 1)","Primary_Cold",-92.5067854781619,13.2468767724653,395.5233900366,-6.9832902552883,1.83947122850218e-10
"4","None - (Primary + 2)","Primary_Cold",-89.1492097606035,13.1782645625714,394.136162780022,-6.76486720518598,3.6287755378837e-10
"5","None - (Primary + 3)","Primary_Cold",-55.8699533325652,13.1035934253273,392.366354556582,-4.2637123664549,0.000126082833209899
"6","(Primary - 1) - Primary","Primary_Cold",-3.12065161940759,17.5644593264725,382.442585626547,-0.177668527189121,0.859077367149181
"7","(Primary - 1) - (Primary + 1)","Primary_Cold",-65.2385583180249,17.5626589597591,382.389274790834,-3.71461738609766,0.000876867821893015
"8","(Primary - 1) - (Primary + 2)","Primary_Cold",-61.8809826004665,17.5606407854775,382.329410325147,-3.52384536284357,0.00119207034320594
"9","(Primary - 1) - (Primary + 3)","Primary_Cold",-28.6017261724282,17.5639758617565,382.428278306377,-1.62843119334417,0.130321206938776
"10","Primary - (Primary + 1)","Primary_Cold",-62.1179066986173,17.5720377944693,382.66603216888,-3.53504285758869,0.00119207034320594
"11","Primary - (Primary + 2)","Primary_Cold",-58.7603309810589,17.5642312200422,382.435835989646,-3.34545419295144,0.00193452804917037
"12","Primary - (Primary + 3)","Primary_Cold",-25.4810745530206,17.5606536200778,382.329791381525,-1.45103223970474,0.17029713085699
"13","(Primary + 1) - (Primary + 2)","Primary_Cold",3.35757571755838,17.562830932583,382.394370878172,0.191175086206024,0.859077367149181
"14","(Primary + 1) - (Primary + 3)","Primary_Cold",36.6368321455967,17.571191190969,382.641147571669,2.08505113554434,0.058828979786757
"15","(Primary + 2) - (Primary + 3)","Primary_Cold",33.2792564280383,17.5637628950842,382.421973914435,1.89476803045164,0.080287103091788
"16","None - (Primary - 1)","Primary_NoCo",-69.6381354648697,16.8908937750946,393.553695942732,-4.12282123090196,0.000171271392445077
"17","None - Primary","Primary_NoCo",-152.673826324938,16.9042912255124,393.872403024259,-9.03166091308926,1.14689229607062e-16
"18","None - (Primary + 1)","Primary_NoCo",-79.8020081813452,18.6498734295162,397.882825637276,-4.27895709227961,0.000117745805613495
"19","None - (Primary + 2)","Primary_NoCo",-31.1503036650352,16.9499431264257,394.846246603183,-1.83778219388067,0.1002684862406
"20","None - (Primary + 3)","Primary_NoCo",-59.2165915700832,18.2298813407132,385.066024085277,-3.24832567274222,0.00270594691235223
"21","(Primary - 1) - Primary","Primary_NoCo",-83.0356908600687,22.6712308981797,382.341852667157,-3.66260178959827,0.000712114590225422
"22","(Primary - 1) - (Primary + 1)","Primary_NoCo",-10.1638727164756,23.8680133026016,384.418325385387,-0.425836561577906,0.67046525839138
"23","(Primary - 1) - (Primary + 2)","Primary_NoCo",38.4878317998345,22.6786611318695,382.512218535102,1.69709453199373,0.123398498941833
"24","(Primary - 1) - (Primary + 3)","Primary_NoCo",10.4215438947865,23.9173037840325,387.278752215298,0.435732388102379,0.67046525839138
"25","Primary - (Primary + 1)","Primary_NoCo",72.8718181435932,23.8595629576741,384.193565933496,3.05419752544775,0.00452610458795948
"26","Primary - (Primary + 2)","Primary_NoCo",121.523522659903,22.6750350440399,382.429188734064,5.35935324571175,1.08510795328776e-06
"27","Primary - (Primary + 3)","Primary_NoCo",93.4572347548553,23.9138773377095,387.282704769583,3.90807535871583,0.000329387360606718
"28","(Primary + 1) - (Primary + 2)","Primary_NoCo",48.65170451631,23.8412893297022,383.667490720134,2.04064905397957,0.069949630840216
"29","(Primary + 1) - (Primary + 3)","Primary_NoCo",20.5854166112621,25.0791941019161,389.859994346218,0.820816511392178,0.475675847202183
"30","(Primary + 2) - (Primary + 3)","Primary_NoCo",-28.066287905048,23.9097863020358,387.396138347631,-1.17384101850623,0.301474812340619
"31","None - (Primary - 1)","SHAM",-91.8681727688032,18.1371811020925,383.352280417782,-5.06518473028888,4.7652193780708e-06
"32","None - Primary","SHAM",-134.807690500037,18.2015532677212,385.094681154595,-7.40638386829908,1.240317806954e-11
"33","None - (Primary + 1)","SHAM",-80.1728440468755,18.1311545732168,383.183764073795,-4.42182783910001,6.38261369148448e-05
"34","None - (Primary + 2)","SHAM",-57.0664366980666,18.1517038442936,383.754577242844,-3.14386115967878,0.00471211488900547
"35","None - (Primary + 3)","SHAM",-28.0232742105698,18.1416205059816,383.47582616663,-1.54469520522326,0.168061114070437
"36","(Primary - 1) - Primary","SHAM",-42.9395177312336,24.8463053660286,382.576386152799,-1.72820534476499,0.127137448608298
"37","(Primary - 1) - (Primary + 1)","SHAM",11.6953287219277,24.8346924395602,382.333526494089,0.470927061021209,0.637961389622454
"38","(Primary - 1) - (Primary + 2)","SHAM",34.8017360707366,24.8353873827546,382.348111003157,1.40129628478847,0.202420810616339
"39","(Primary - 1) - (Primary + 3)","SHAM",63.8448985582334,24.8345855150347,382.331281930528,2.57080588357644,0.0225508603357553
"40","Primary - (Primary + 1)","SHAM",54.6348464531614,24.8495872670664,382.644689937001,2.19862188719609,0.0534428107755691
"41","Primary - (Primary + 2)","SHAM",77.7412538019702,24.8406956108146,382.459297527078,3.12959246471846,0.00471211488900547
