"","contrast","estimate","SE","df","t.ratio","p.value"
"1","SvN_S",-15.2122979950311,31.3123031871648,123.148319652126,-0.485824945680354,0.886040472150747
"2","SvN_1",18.8947184596991,31.2053031951404,123.263676708977,0.605497031755857,0.886040472150747
"3","SvN_2",12.9826322033025,31.3282674065689,123.115496208599,0.41440632623623,0.886040472150747
"4","SvN_3",55.0359812355314,31.4491738874453,122.770682302443,1.7499976766481,0.413085644184294
"5","SvN_-1",-58.1276381454234,37.063480949161,165.960194884863,-1.56832646736974,0.508755654039849
"6","SvN_None",60.0871082428353,20.5405855489698,20.1153952673127,2.92528701772326,0.0500015412340197
"7","NvCP_S",6.03091066893504,32.8280948478741,125.313613500111,0.183711869265712,0.949484921700987
"8","NvCP_1",-18.8111771392165,32.7405003812867,125.632317528419,-0.574553745976597,0.886040472150747
"9","NvCP_2",3.80507760854806,32.8872028835682,125.05569617252,0.115700858538177,0.972937724036679
"10","NvCP_3",-29.0762010347181,32.956760838587,124.723227253649,-0.882252997408489,0.812865435324967
"11","NvCP_-1",17.7243133748471,36.4587667096096,151.652115491195,0.486146816649598,0.886040472150747
"12","NvCP_None",-63.9296231750819,21.3095737831478,23.0356152406133,-3.00004232021004,0.0500015412340197
"13","CPSvCS_S",-34.203539080266,28.5811009912895,125.651637560114,-1.19671873699652,0.701007831300472
"14","CPSvCS_1",1.07920586964104,28.580346831154,125.622113067755,0.0377604189346175,0.993638620162826
"15","CPSvCS_2",-21.4076041008666,28.7272470852267,125.358140469095,-0.745202073743978,0.873012758272495
"16","CPSvCS_3",-8.84433349334456,28.7170388304306,125.411071497065,-0.307982084976411,0.94825861335467
"17","CPSvCS_-1",38.0818199885429,37.4398268990108,187.80713655089,1.01714733060235,0.812865435324967
"18","CPSvCS_None",-16.4394963983179,16.9652961807293,20.6890576205679,-0.969007332568195,0.812865435324967
"19","CPvCPS_S",-178.470048137817,28.6147088542137,124.694780443582,-6.23700380972203,9.52041683169754e-08
"20","CPvCPS_1",17.994503101242,28.5936133173431,125.08321669389,0.629318963697661,0.886040472150747
"21","CPvCPS_2",-6.77732742676061,28.5831790585604,125.697541453115,-0.23710894484044,0.949484921700987
"22","CPvCPS_3",-6.08949605587811,28.5802197973152,125.615190831892,-0.213066802811998,0.949484921700987
"23","CPvCPS_-1",-38.3790936566332,32.006718009586,152.763078887134,-1.19909494141632,0.701007831300472
"24","CPvCPS_None",15.8947948366854,17.1620293692642,22.4633261668738,0.926160566136291,0.812865435324967
"25","NvCS_S",-206.642676549148,33.0758648574792,124.103341316799,-6.24753660832611,9.52041683169754e-08
"26","NvCS_1",0.262531831666593,32.8623507900984,125.167350974749,0.00798883297617574,0.993638620162826
"27","NvCS_2",-24.3798539190791,33.3090466558971,122.774986423691,-0.731928901206271,0.873012758272495
"28","NvCS_3",-44.0100305839408,33.4528461637139,121.909238271689,-1.31558404234311,0.701007831300472
"29","NvCS_-1",17.4270397067567,41.4411634431722,178.990819900118,0.420524866070767,0.886040472150747
"30","NvCS_None",-64.4743247367144,22.0283565991111,22.2199352570485,-2.92687856430089,0.0500015412340197
