"","Group_Combo","emmean","SE","df","lower.CL","upper.CL"
"1","CP_None",-104.752854176293,15.4116965342762,5.92489472168238,-142.580097381112,-66.9256109714744
"2","CP_Secondary",-37.7994977108656,22.6425882520184,26.549975449719,-84.2951260845869,8.69613066285564
"3","CP_Secondary - 1",-78.1841808263039,22.6200176598708,26.5174413943617,-124.636175246845,-31.7321864057624
"4","CP_Secondary + 1",-54.5380162165939,22.6402782621405,26.5466487480082,-101.029178547172,-8.04685388601597
"5","CP_Secondary + 2",-45.6134333322846,22.6450143489442,26.5534686243048,-92.113752304691,0.886885640121889
"6","CP_Secondary + 3",-59.1051783803198,22.6332932414864,26.5365851981981,-105.582836593261,-12.6275201673791
"7","CP+S_None",-88.8580593396076,13.4025870741923,3.50740341621572,-128.2241613088,-49.491957370415
"8","CP+S_Secondary",-216.269545848683,20.7170688796026,19.4312180659218,-259.565831709999,-172.973259987366
"9","CP+S_Secondary - 1",-116.563274482937,25.1422763294062,39.0897660313993,-167.414594889783,-65.711954076091
"10","CP+S_Secondary + 1",-36.5435131153519,20.6567236470392,19.2571476181958,-79.739490273901,6.65246404319726
"11","CP+S_Secondary + 2",-52.3907607590452,20.5809578390471,18.9639323633279,-95.4727463244972,-9.30877519359309
"12","CP+S_Secondary + 3",-65.1946744361979,20.5809578390471,18.9639323633278,-108.27666000165,-22.1126888707458
"13","CS_None",-105.297555737926,15.1289108702977,5.25965626564193,-143.617228169212,-66.9778833066393
"14","CS_Secondary",-250.473084928949,22.7836497027151,26.7518194976951,-297.241573826439,-203.704596031458
"15","CS_Secondary - 1",-78.4814544943942,29.904757342351,67.499180992661,-138.163486731208,-18.7994222575801
"16","CS_Secondary + 1",-35.4643072457108,22.7131103891307,26.651206672068,-82.0963154478649,11.1677009564432
"17","CS_Secondary + 2",-73.7983648599118,22.8968787587218,26.9119662585242,-120.78607138425,-26.8106583355732
"18","CS_Secondary + 3",-74.0390079295425,22.8811438394148,26.8898119068508,-120.996240532834,-27.081775326251
"19","NoCo_None",-40.8232310012111,17.9959726952597,7.16596616158495,-83.1779668527823,1.53150485036002
"20","NoCo_Secondary",-43.8304083798006,26.015825321774,39.0437966481954,-96.4504948251519,8.7896780655506
"21","NoCo_Secondary - 1",-95.908494201151,30.5514949124645,65.8233693327483,-156.909577213437,-34.9074111888647
"22","NoCo_Secondary + 1",-35.7268390773774,25.9418677197328,39.2156547964817,-88.1899950023383,16.7363168475834
"23","NoCo_Secondary + 2",-49.4185109408326,26.0652432043153,38.9594970515369,-102.142194197836,3.30517231617064
"24","NoCo_Secondary + 3",-30.0289773456017,26.174481400619,38.8197873219108,-82.9797224616367,22.9217677704332
"25","SHAM_None",-100.910339244046,13.3837694601461,2.82672386483926,-145.019305140129,-56.801373347964
"26","SHAM_Secondary",-28.6181103847696,19.6825246550923,13.6265907687695,-70.9417136056381,13.705492836099
"27","SHAM_Secondary - 1",-37.7808560557276,22.8014535450936,23.2727523830453,-84.9186864132523,9.35697430179707
"28","SHAM_Secondary + 1",-54.6215575370765,19.6825246550923,13.6265907687696,-96.945160757945,-12.297954316208
"29","SHAM_Secondary + 2",-62.4011431441351,19.6553314766228,13.7080771719668,-104.642016015178,-20.1602702730922
"30","SHAM_Secondary + 3",-85.0649585811331,19.6515318228954,13.7214069516355,-127.293728356123,-42.8361888061428
