"","contrast","Treatment","estimate","SE","df","t.ratio","p.value"
"1","None - (Secondary - 1)","SHAM",-63.1294831927762,19.8000019218627,214.643599612509,-3.1883574275349,0.0123339684504746
"2","None - Secondary","SHAM",-72.2922288613273,16.2849389989757,212.514478649071,-4.43920783896545,0.000217552785578545
"3","None - (Secondary + 1)","SHAM",-46.2887817090203,16.2849389989757,212.514478649071,-2.84242892846769,0.024567162035426
"4","None - (Secondary + 2)","SHAM",-38.5091961013765,16.2674371472757,212.036943989007,-2.36725648623918,0.0564610643840587
"5","None - (Secondary + 3)","SHAM",-15.8453806642874,16.2652370345596,211.976431627907,-0.974186888922668,0.4138426625143
"6","(Secondary - 1) - Secondary","SHAM",-9.16274566855104,24.4000437936195,213.044478553362,-0.37552168947119,0.719923085267299
"7","(Secondary - 1) - (Secondary + 1)","SHAM",16.8407014837559,24.4000437936195,213.044478553362,0.690191444990753,0.566336526736668
"8","(Secondary - 1) - (Secondary + 2)","SHAM",24.6202870913997,24.4071006987829,213.118464094968,1.00873460536128,0.4138426625143
"9","(Secondary - 1) - (Secondary + 3)","SHAM",47.2841025284888,24.4085474935024,213.136129913021,1.9371944414585,0.135108055210618
"10","Secondary - (Secondary + 1)","SHAM",26.003447152307,21.6655418865368,211.530891151326,1.20022140634598,0.385659655925884
"11","Secondary - (Secondary + 2)","SHAM",33.7830327599508,21.6677306135172,211.576634740741,1.55914033465395,0.258123631783007
"12","Secondary - (Secondary + 3)","SHAM",56.4468481970399,21.6684644630948,211.591958629389,2.60502299520018,0.0368951128180762
"13","(Secondary + 1) - (Secondary + 2)","SHAM",7.77958560764381,21.6677306135172,211.576634740741,0.359040166522588,0.719923085267299
"14","(Secondary + 1) - (Secondary + 3)","SHAM",30.4434010447329,21.6684644630948,211.591958629389,1.40496347106567,0.302809759286277
"15","(Secondary + 2) - (Secondary + 3)","SHAM",22.6638154370891,21.6655948509359,211.531998788927,1.04607399856875,0.4138426625143
"16","None - (Secondary - 1)","NoCo",55.0852631907549,28.2709070496272,216.247419753759,1.94847880522748,0.41486849054535
"17","None - Secondary","NoCo",3.00717736871784,23.5791068592875,220.478674429808,0.127535677524331,0.898632680961646
"18","None - (Secondary + 1)","NoCo",-5.09639193513601,23.7508421689207,222.572582686747,-0.214577314728019,0.898632680961646
"19","None - (Secondary + 2)","NoCo",8.59527993053009,23.4950726777732,219.320875455645,0.365833298258379,0.898632680961646
"20","None - (Secondary + 3)","NoCo",-10.7942536632442,23.35672218108,217.227299186211,-0.462147624121162,0.898632680961646
"21","(Secondary - 1) - Secondary","NoCo",-52.0780858220371,34.5187254244631,213.740013336778,-1.50869086797538,0.498204502423654
"22","(Secondary - 1) - (Secondary + 1)","NoCo",-60.1816551258909,34.5509547765714,214.375424230107,-1.74182321487392,0.41486849054535
"23","(Secondary - 1) - (Secondary + 2)","NoCo",-46.4899832602249,34.5080558803386,213.473921461987,-1.34722116544134,0.538011858707307
"24","(Secondary - 1) - (Secondary + 3)","NoCo",-65.8795168539991,34.5012089037606,213.135760529847,-1.90948430351431,0.41486849054535
"25","Secondary - (Secondary + 1)","NoCo",-8.10356930385385,30.6489500121305,211.667367050949,-0.264399573252804,0.898632680961646
"26","Secondary - (Secondary + 2)","NoCo",5.58810256181225,30.6424545896589,211.571555280984,0.182364717077793,0.898632680961646
"27","Secondary - (Secondary + 3)","NoCo",-13.801431031962,30.6623063880471,211.863558551057,-0.450110662169306,0.898632680961646
"28","(Secondary + 1) - (Secondary + 2)","NoCo",13.6916718656661,30.6617839761742,211.855905720791,0.446538657904095,0.898632680961646
"29","(Secondary + 1) - (Secondary + 3)","NoCo",-5.69786172810816,30.7004245464368,212.417349636487,-0.185595535315471,0.898632680961646
"30","(Secondary + 2) - (Secondary + 3)","NoCo",-19.3895335937743,30.6492892646033,211.67236405213,-0.632625880045026,0.898632680961646
"31","None - (Secondary - 1)","CP",-26.5686733519754,20.7258426268017,214.640846446734,-1.28191040675075,0.474071122422774
"32","None - Secondary","CP",-66.9533564688973,20.712837562937,214.169211032361,-3.23245698545437,0.0213166667871051
"33","None - (Secondary + 1)","CP",-50.2148379630716,20.7127890795938,214.182454705815,-2.42433975309212,0.0808295507074329
"34","None - (Secondary + 2)","CP",-59.139420847576,20.7130132407535,214.15849314274,-2.85518191680664,0.035430874122517
"35","None - (Secondary + 3)","CP",-45.647675799014,20.713575643985,214.246339018265,-2.20375644377312,0.107274149854692
"36","(Secondary - 1) - Secondary","CP",-40.3846831169219,26.5462444318779,211.726426481696,-1.52129553468687,0.389033158501345
"37","(Secondary - 1) - (Secondary + 1)","CP",-23.6461646110962,26.5447844493996,211.701626380512,-0.890802660544152,0.701336821413704
"38","(Secondary - 1) - (Secondary + 2)","CP",-32.5707474956006,26.5478035731598,211.752891441039,-1.22687164705897,0.474071122422774
"39","(Secondary - 1) - (Secondary + 3)","CP",-19.0790024470387,26.5405624281715,211.629809340958,-0.718862024822324,0.709528354949548
"40","Secondary - (Secondary + 1)","CP",16.7385185058257,26.5348109552526,211.531738836527,0.630813557860011,0.721150080537729
"41","Secondary - (Secondary + 2)","CP",7.81393562132131,26.5348109552526,211.531738836527,0.294478661803864,0.823586729444596
"42","Secondary - (Secondary + 3)","CP",21.3056806698833,26.5357223988599,211.547298436002,0.802905620945094,0.704884046721458
"43","(Secondary + 1) - (Secondary + 2)","CP",-8.9245828845044,26.5349598860864,211.534281760446,-0.336333008333809,0.823586729444596
"44","(Secondary + 1) - (Secondary + 3)","CP",4.56716216405755,26.5353351880804,211.540689052609,0.172116241671185,0.863510691420782
"45","(Secondary + 2) - (Secondary + 3)","CP",13.491745048562,26.5362088864458,211.555600640026,0.508427752671682,0.764603949801301
"46","None - (Secondary - 1)","CS",-26.8161012381222,28.5578505770929,220.676143349478,-0.939009788770035,0.435940441445254
"47","None - Secondary","CS",145.175529192949,20.307654706826,213.765216616006,7.14880823456938,1.02406121161085e-10
"48","None - (Secondary + 1)","CS",-69.8332484890208,20.3274982863778,214.055135905032,-3.43540791420549,0.00177634730686715
"49","None - (Secondary + 2)","CS",-31.4991908776486,20.3133171979198,214.033047529721,-1.55066701173131,0.225993209274719
"50","None - (Secondary + 3)","CS",-31.2585478078227,20.3107935712707,213.962014570064,-1.53901164413573,0.225993209274719
"51","(Secondary - 1) - Secondary","CS",171.991630431071,32.9904117884546,215.553674741375,5.21338234678423,1.30075083669098e-06
"52","(Secondary - 1) - (Secondary + 1)","CS",-43.0171472508986,32.9636394179706,215.287848156941,-1.30498779899428,0.263577412529204
"53","(Secondary - 1) - (Secondary + 2)","CS",-4.68308963952631,33.0418361931355,216.097985533886,-0.141732124454368,0.956944683377449
"54","(Secondary - 1) - (Secondary + 3)","CS",-4.44244656970048,33.0342960009995,216.017326696786,-0.1344798317956,0.956944683377449
"55","Secondary - (Secondary + 1)","CS",-215.00877768197,26.5431497950688,211.67383824543,-8.10034902948536,6.45986097746434e-13
"56","Secondary - (Secondary + 2)","CS",-176.674720070598,26.5474670933955,211.747181718553,-6.65504996951484,9.37240802860219e-10
"57","Secondary - (Secondary + 3)","CS",-176.434077000772,26.544489721418,211.696617818866,-6.64673078489855,9.37240802860219e-10
"58","(Secondary + 1) - (Secondary + 2)","CS",38.3340576113723,26.5764789897631,212.23602546759,1.44240543023543,0.225993209274719
"59","(Secondary + 1) - (Secondary + 3)","CS",38.5747006811981,26.5709270272042,212.143018891791,1.45176344964193,0.225993209274719
"60","(Secondary + 2) - (Secondary + 3)","CS",0.240643069825839,26.5349598860864,211.534281760446,0.00906890648634519,0.992772705719612
"61","None - (Secondary - 1)","CP+S",27.7052151402267,22.9251898324764,216.599178346171,1.20850537520866,0.264600653510969
"62","None - Secondary","CP+S",127.41148650554,17.9428383138218,213.840816849058,7.10096609449974,1.35471891838567e-10
"63","None - (Secondary + 1)","CP+S",-52.3145462266987,17.896394275848,212.665385784438,-2.92318918662289,0.00902717408636058
"64","None - (Secondary + 2)","CP+S",-36.4672985806645,17.8588855015601,211.604280560259,-2.04196944862427,0.0706584942384332
"65","None - (Secondary + 3)","CP+S",-23.6633849035117,17.8588855015601,211.604280560259,-1.3250202484049,0.254445601052496
"66","(Secondary - 1) - Secondary","CP+S",99.7062713653131,27.6503181958039,213.588602063293,3.60597193346021,0.0011614429264494
"67","(Secondary - 1) - (Secondary + 1)","CP+S",-80.0197613669255,27.6612805841989,213.783876542325,-2.89284370343416,0.00902717408636058
"68","(Secondary - 1) - (Secondary + 2)","CP+S",-64.1725137208912,27.7249246720396,214.801912518797,-2.31461453836189,0.0404599878596799
"69","(Secondary - 1) - (Secondary + 3)","CP+S",-51.3686000437384,27.7249246720396,214.801912518797,-1.85279493637519,0.0979252087778643
"70","Secondary - (Secondary + 1)","CP+S",-179.726032732239,23.7403733623135,211.66353999783,-7.57048046335883,1.69676657406841e-11
"71","Secondary - (Secondary + 2)","CP+S",-163.878785086204,23.8020837361915,212.817377182456,-6.88506043851209,3.19303878928009e-10
"72","Secondary - (Secondary + 3)","CP+S",-151.074871409051,23.8020837361915,212.817377182456,-6.34712796927688,4.88455925377283e-09
"73","(Secondary + 1) - (Secondary + 2)","CP+S",15.8472476460342,23.7653605385543,212.135533130091,0.666821259468182,0.541725994809166
"74","(Secondary + 1) - (Secondary + 3)","CP+S",28.651161323187,23.7653605385543,212.135533130091,1.20558496374193,0.264600653510969
"75","(Secondary + 2) - (Secondary + 3)","CP+S",12.8039136771528,23.7334120236585,211.530891151323,0.539488956092335,0.59011692937718
