Primary Treatment,contrast,estimate,SE,df,t.ratio,p.value
Primary NoCo,None - (Primary - 1),-69.64,16.89,393.55,-4.12,1.71E-04
Primary NoCo,None - Primary,-152.67,16.9,393.87,-9.03,1.15E-16
Primary NoCo,None - (Primary + 1),-79.8,18.65,397.88,-4.28,1.18E-04
Primary NoCo,None - (Primary + 2),-31.15,16.95,394.85,-1.84,0.1
Primary NoCo,None - (Primary + 3),-59.22,18.23,385.07,-3.25,2.71E-03
Primary NoCo,(Primary - 1) - Primary,-83.04,22.67,382.34,-3.66,7.12E-04
Primary NoCo,(Primary - 1) - (Primary + 1),-10.16,23.87,384.42,-0.43,0.67
Primary NoCo,(Primary - 1) - (Primary + 2),38.49,22.68,382.51,1.7,0.12
Primary NoCo,(Primary - 1) - (Primary + 3),10.42,23.92,387.28,0.44,0.67
Primary NoCo,Primary - (Primary + 1),72.87,23.86,384.19,3.05,4.53E-03
Primary NoCo,Primary - (Primary + 2),121.52,22.68,382.43,5.36,1.09E-06
Primary NoCo,Primary - (Primary + 3),93.46,23.91,387.28,3.91,3.29E-04
Primary NoCo,(Primary + 1) - (Primary + 2),48.65,23.84,383.67,2.04,0.07
Primary NoCo,(Primary + 1) - (Primary + 3),20.59,25.08,389.86,0.82,0.48
Primary NoCo,(Primary + 2) - (Primary + 3),-28.07,23.91,387.4,-1.17,0.3
Primary Cold,None - (Primary - 1),-27.27,13.18,394.19,-2.07,0.06
Primary Cold,None - Primary,-30.39,13.1,392.24,-2.32,0.04
Primary Cold,None - (Primary + 1),-92.51,13.25,395.52,-6.98,1.84E-10
Primary Cold,None - (Primary + 2),-89.15,13.18,394.14,-6.76,3.63E-10
Primary Cold,None - (Primary + 3),-55.87,13.1,392.37,-4.26,1.26E-04
Primary Cold,(Primary - 1) - Primary,-3.12,17.56,382.44,-0.18,0.86
Primary Cold,(Primary - 1) - (Primary + 1),-65.24,17.56,382.39,-3.71,8.77E-04
Primary Cold,(Primary - 1) - (Primary + 2),-61.88,17.56,382.33,-3.52,1.19E-03
Primary Cold,(Primary - 1) - (Primary + 3),-28.6,17.56,382.43,-1.63,0.13
Primary Cold,Primary - (Primary + 1),-62.12,17.57,382.67,-3.54,1.19E-03
Primary Cold,Primary - (Primary + 2),-58.76,17.56,382.44,-3.35,1.93E-03
Primary Cold,Primary - (Primary + 3),-25.48,17.56,382.33,-1.45,0.17
Primary Cold,(Primary + 1) - (Primary + 2),3.36,17.56,382.39,0.19,0.86
Primary Cold,(Primary + 1) - (Primary + 3),36.64,17.57,382.64,2.09,0.06
Primary Cold,(Primary + 2) - (Primary + 3),33.28,17.56,382.42,1.89,0.08
SHAM,None - (Primary - 1),-91.87,18.14,383.35,-5.07,4.77E-06
SHAM,None - Primary,-134.81,18.2,385.09,-7.41,1.24E-11
SHAM,None - (Primary + 1),-80.17,18.13,383.18,-4.42,6.38E-05
SHAM,None - (Primary + 2),-57.07,18.15,383.75,-3.14,4.71E-03
SHAM,None - (Primary + 3),-28.02,18.14,383.48,-1.54,0.17
SHAM,(Primary - 1) - Primary,-42.94,24.85,382.58,-1.73,0.13
SHAM,(Primary - 1) - (Primary + 1),11.7,24.83,382.33,0.47,0.64
SHAM,(Primary - 1) - (Primary + 2),34.8,24.84,382.35,1.4,0.2
SHAM,(Primary - 1) - (Primary + 3),63.84,24.83,382.33,2.57,0.02
SHAM,Primary - (Primary + 1),54.63,24.85,382.64,2.2,0.05
SHAM,Primary - (Primary + 2),77.74,24.84,382.46,3.13,4.71E-03
SHAM,Primary - (Primary + 3),106.78,24.84,382.53,4.3,8.20E-05
SHAM,(Primary + 1) - (Primary + 2),23.11,24.84,382.37,0.93,0.38
SHAM,(Primary + 1) - (Primary + 3),52.15,24.84,382.34,2.1,0.06
SHAM,(Primary + 2) - (Primary + 3),29.04,24.83,382.34,1.17,0.28
