Primary Treatment,Experiment Day,Avg Minimum,Avg Maximum,Average,n
Primary NoCo,Primary - 1,26.1 ± 1.5,36.8 ± 0.7,31.4 ± 1.0,6
Primary NoCo,Primary,29.7 ± 3.2,37.6 ± 1.1,34.8 ± 0.6,6
Primary NoCo,Primary + 1,27.3 ± 4.1,36.1 ± 0.7,31.9 ± 1.7,5
Primary NoCo,Primary + 2,24.6 ± 1.6,35.2 ± 1.4,29.9 ± 1.6,6
Primary NoCo,Primary + 3,26.6 ± 2.7,35.9 ± 1.8,31.3 ± 1.6,6
Primary Cold,Primary - 1,25.7 ± 2.4,36.4 ± 1.0,30.3 ± 3.2,10
Primary Cold,Primary,21.0 ± 6.6,38.8 ± 2.5,30.4 ± 4.2,10
Primary Cold,Primary + 1,28.3 ± 3.4,37.4 ± 1.4,33.1 ± 1.4,10
Primary Cold,Primary + 2,28.7 ± 2.7,36.0 ± 1.2,32.9 ± 1.1,10
Primary Cold,Primary + 3,26.6 ± 3.9,36.5 ± 1.4,31.5 ± 2.2,10
SHAM,Primary - 1,27.8 ± 3.3,37.1 ± 1.0,32.3 ± 1.8,5
SHAM,Primary,30.2 ± 2.3,37.4 ± 0.7,34.2 ± 0.9,5
SHAM,Primary + 1,26.5 ± 2.2,36.6 ± 1.3,31.8 ± 1.8,5
SHAM,Primary + 2,24.6 ± 1.6,36.6 ± 0.9,30.9 ± 1.5,5
SHAM,Primary + 3,23.8 ± 0.3,36.3 ± 1.1,29.6 ± 1.2,5
