Secondary Treatment,Experiment Day,emmean,SE,df,lower.CL,upper.CL
NoCo,Baseline,-40.82,18.00,7.17,-83.18,1.53
NoCo,Secondary - 1,-95.91,30.55,65.82,-156.91,-34.91
NoCo,Secondary,-43.83,26.02,39.04,-96.45,8.79
NoCo,Secondary + 1,-35.73,25.94,39.22,-88.19,16.74
NoCo,Secondary + 2,-49.42,26.07,38.96,-102.14,3.31
NoCo,Secondary + 3,-30.03,26.17,38.82,-82.98,22.92
CP,Baseline,-104.75,15.41,5.92,-142.58,-66.93
CP,Secondary - 1,-78.18,22.62,26.52,-124.64,-31.73
CP,Secondary,-37.80,22.64,26.55,-84.30,8.70
CP,Secondary + 1,-54.54,22.64,26.55,-101.03,-8.05
CP,Secondary + 2,-45.61,22.65,26.55,-92.11,0.89
CP,Secondary + 3,-59.11,22.63,26.54,-105.58,-12.63
CP + S,Baseline,-88.86,13.40,3.51,-128.22,-49.49
CP + S,Secondary - 1,-116.56,25.14,39.09,-167.41,-65.71
CP + S,Secondary,-216.27,20.72,19.43,-259.57,-172.97
CP + S,Secondary + 1,-36.54,20.66,19.26,-79.74,6.65
CP + S,Secondary + 2,-52.39,20.58,18.96,-95.47,-9.31
CP + S,Secondary + 3,-65.19,20.58,18.96,-108.28,-22.11
CS,Baseline,-105.30,15.13,5.26,-143.62,-66.98
CS,Secondary - 1,-78.48,29.90,67.50,-138.16,-18.80
CS,Secondary,-250.47,22.78,26.75,-297.24,-203.70
CS,Secondary + 1,-35.46,22.71,26.65,-82.10,11.17
CS,Secondary + 2,-73.80,22.90,26.91,-120.79,-26.81
CS,Secondary + 3,-74.04,22.88,26.89,-121.00,-27.08
Sham,Baseline,-100.91,13.38,2.83,-145.02,-56.80
Sham,Secondary - 1,-37.78,22.80,23.27,-84.92,9.36
Sham,Secondary,-28.62,19.68,13.63,-70.94,13.71
Sham,Secondary + 1,-54.62,19.68,13.63,-96.95,-12.30
Sham,Secondary + 2,-62.40,19.66,13.71,-104.64,-20.16
Sham,Secondary + 3,-85.06,19.65,13.72,-127.29,-42.84
