Treatment,contrast,estimate,SE,df,t.ratio,p.value
SHAM,None - (Secondary - 1),-63.13,19.80,214.64,-3.19,0.01
SHAM,None - Secondary,-72.29,16.28,212.51,-4.44,0.000217553
SHAM,None - (Secondary + 1),-46.29,16.28,212.51,-2.84,0.02
SHAM,None - (Secondary + 2),-38.51,16.27,212.04,-2.37,0.06
SHAM,None - (Secondary + 3),-15.85,16.27,211.98,-0.97,0.41
SHAM,(Secondary - 1) - Secondary,-9.16,24.40,213.04,-0.38,0.72
SHAM,(Secondary - 1) - (Secondary + 1),16.84,24.40,213.04,0.69,0.57
SHAM,(Secondary - 1) - (Secondary + 2),24.62,24.41,213.12,1.01,0.41
SHAM,(Secondary - 1) - (Secondary + 3),47.28,24.41,213.14,1.94,0.14
SHAM,Secondary - (Secondary + 1),26.00,21.67,211.53,1.20,0.39
SHAM,Secondary - (Secondary + 2),33.78,21.67,211.58,1.56,0.26
SHAM,Secondary - (Secondary + 3),56.45,21.67,211.59,2.61,0.04
SHAM,(Secondary + 1) - (Secondary + 2),7.78,21.67,211.58,0.36,0.72
SHAM,(Secondary + 1) - (Secondary + 3),30.44,21.67,211.59,1.40,0.30
SHAM,(Secondary + 2) - (Secondary + 3),22.66,21.67,211.53,1.05,0.41
NoCo,None - (Secondary - 1),55.09,28.27,216.25,1.95,0.41
NoCo,None - Secondary,3.01,23.58,220.48,0.13,0.90
NoCo,None - (Secondary + 1),-5.10,23.75,222.57,-0.21,0.90
NoCo,None - (Secondary + 2),8.60,23.50,219.32,0.37,0.90
NoCo,None - (Secondary + 3),-10.79,23.36,217.23,-0.46,0.90
NoCo,(Secondary - 1) - Secondary,-52.08,34.52,213.74,-1.51,0.50
NoCo,(Secondary - 1) - (Secondary + 1),-60.18,34.55,214.38,-1.74,0.41
NoCo,(Secondary - 1) - (Secondary + 2),-46.49,34.51,213.47,-1.35,0.54
NoCo,(Secondary - 1) - (Secondary + 3),-65.88,34.50,213.14,-1.91,0.41
NoCo,Secondary - (Secondary + 1),-8.10,30.65,211.67,-0.26,0.90
NoCo,Secondary - (Secondary + 2),5.59,30.64,211.57,0.18,0.90
NoCo,Secondary - (Secondary + 3),-13.80,30.66,211.86,-0.45,0.90
NoCo,(Secondary + 1) - (Secondary + 2),13.69,30.66,211.86,0.45,0.90
NoCo,(Secondary + 1) - (Secondary + 3),-5.70,30.70,212.42,-0.19,0.90
NoCo,(Secondary + 2) - (Secondary + 3),-19.39,30.65,211.67,-0.63,0.90
CP,None - (Secondary - 1),-26.57,20.73,214.64,-1.28,0.47
CP,None - Secondary,-66.95,20.71,214.17,-3.23,0.02
CP,None - (Secondary + 1),-50.21,20.71,214.18,-2.42,0.08
CP,None - (Secondary + 2),-59.14,20.71,214.16,-2.86,0.04
CP,None - (Secondary + 3),-45.65,20.71,214.25,-2.20,0.11
CP,(Secondary - 1) - Secondary,-40.38,26.55,211.73,-1.52,0.39
CP,(Secondary - 1) - (Secondary + 1),-23.65,26.54,211.70,-0.89,0.70
CP,(Secondary - 1) - (Secondary + 2),-32.57,26.55,211.75,-1.23,0.47
CP,(Secondary - 1) - (Secondary + 3),-19.08,26.54,211.63,-0.72,0.71
CP,Secondary - (Secondary + 1),16.74,26.53,211.53,0.63,0.72
CP,Secondary - (Secondary + 2),7.81,26.53,211.53,0.29,0.82
CP,Secondary - (Secondary + 3),21.31,26.54,211.55,0.80,0.70
CP,(Secondary + 1) - (Secondary + 2),-8.92,26.53,211.53,-0.34,0.82
CP,(Secondary + 1) - (Secondary + 3),4.57,26.54,211.54,0.17,0.86
CP,(Secondary + 2) - (Secondary + 3),13.49,26.54,211.56,0.51,0.76
CS,None - (Secondary - 1),-26.82,28.56,220.68,-0.94,0.44
CS,None - Secondary,145.18,20.31,213.77,7.15,1.02E-10
CS,None - (Secondary + 1),-69.83,20.33,214.06,-3.44,0.00
CS,None - (Secondary + 2),-31.50,20.31,214.03,-1.55,0.23
CS,None - (Secondary + 3),-31.26,20.31,213.96,-1.54,0.23
CS,(Secondary - 1) - Secondary,171.99,32.99,215.55,5.21,1.30E-06
CS,(Secondary - 1) - (Secondary + 1),-43.02,32.96,215.29,-1.30,0.26
CS,(Secondary - 1) - (Secondary + 2),-4.68,33.04,216.10,-0.14,0.96
CS,(Secondary - 1) - (Secondary + 3),-4.44,33.03,216.02,-0.13,0.96
CS,Secondary - (Secondary + 1),-215.01,26.54,211.67,-8.10,6.46E-13
CS,Secondary - (Secondary + 2),-176.67,26.55,211.75,-6.66,9.37E-10
CS,Secondary - (Secondary + 3),-176.43,26.54,211.70,-6.65,9.37E-10
CS,(Secondary + 1) - (Secondary + 2),38.33,26.58,212.24,1.44,0.23
CS,(Secondary + 1) - (Secondary + 3),38.57,26.57,212.14,1.45,0.23
CS,(Secondary + 2) - (Secondary + 3),0.24,26.53,211.53,0.01,0.99
CP+S,None - (Secondary - 1),27.71,22.93,216.60,1.21,0.26
CP+S,None - Secondary,127.41,17.94,213.84,7.10,1.35E-10
CP+S,None - (Secondary + 1),-52.31,17.90,212.67,-2.92,0.009027174
CP+S,None - (Secondary + 2),-36.47,17.86,211.60,-2.04,0.07
CP+S,None - (Secondary + 3),-23.66,17.86,211.60,-1.33,0.25
CP+S,(Secondary - 1) - Secondary,99.71,27.65,213.59,3.61,0.001161443
CP+S,(Secondary - 1) - (Secondary + 1),-80.02,27.66,213.78,-2.89,0.009027174
CP+S,(Secondary - 1) - (Secondary + 2),-64.17,27.72,214.80,-2.31,0.04
CP+S,(Secondary - 1) - (Secondary + 3),-51.37,27.72,214.80,-1.85,0.10
CP+S,Secondary - (Secondary + 1),-179.73,23.74,211.66,-7.57,1.70E-11
CP+S,Secondary - (Secondary + 2),-163.88,23.80,212.82,-6.89,3.19E-10
CP+S,Secondary - (Secondary + 3),-151.07,23.80,212.82,-6.35,4.88E-09
CP+S,(Secondary + 1) - (Secondary + 2),15.85,23.77,212.14,0.67,0.54
CP+S,(Secondary + 1) - (Secondary + 3),28.65,23.77,212.14,1.21,0.26
CP+S,(Secondary + 2) - (Secondary + 3),12.80,23.73,211.53,0.54,0.59
