Treatment,DateType,Avg Minimum,Avg Maximum,Average,n
NoCo,Secondary - 1,22.3±0.5,34.4±0.8,28.1±0.7,2
NoCo,Secondary,22.8±0.5,35.2±0.7,30.2±1.6,3
NoCo,Secondary + 1,25.4±3.5,35.0±0.9,29.8±2.4,4
NoCo,Secondary + 2,25.2±5.2,35.2±2.2,29.2±3.5,4
NoCo,Secondary + 3,25.5±5.0,35.5±1.5,29.8±3.3,4
CP,Secondary - 1,22.6±0.6,35.6±1.5,28.5±2.8,4
CP,Secondary,25.0±4.2,35.1±1.2,30.2±2.2,4
CP,Secondary + 1,23.1±0.5,35.4±0.8,29.0±0.9,6
CP,Secondary + 2,23.9±3.2,35.8±1.3,29.5±2.3,6
CP,Secondary + 3,23.0±1.0,34.8±1.1,28.7±1.7,6
CP+S,Secondary - 1,22.4±0.3,34.4±1.6,26.8±0.7,3
CP+S,Secondary,14.7±0.3,33.8±1.7,22.1±3.0,5
CP+S,Secondary + 1,23.6±0.4,34.8±1.1,29.6±2.1,5
CP+S,Secondary + 2,23.4±1.7,35.4±0.6,28.9±2.0,5
CP+S,Secondary + 3,22.7±1.0,34.4±1.0,28.4±1.5,5
CS,Secondary - 1,22.9±0.5,36.9±0.9,28.4±1.0,2
CS,Secondary,14.6±0.1,35.6±1.0,20.7±1.1,4
CS,Secondary + 1,23.5±1.5,36.2±1.1,29.7±0.3,4
CS,Secondary + 2,22.6±0.4,35.0±1.4,28.1±0.4,4
CS,Secondary + 3,23.1±0.8,35.7±0.7,28.1±1.2,4
SHAM,Secondary - 1,24.2±2.1,37.1±1.4,30.3±1.8,4
SHAM,Secondary,23.9±1.7,36.5±0.7,30.5±1.1,6
SHAM,Secondary + 1,23.4±0.3,36.5±0.7,29.4±1.2,6
SHAM,Secondary + 2,23.0±0.6,36.0±1.2,29.1±1.4,6
SHAM,Secondary + 3,23.2±1.0,35.5±1.2,28.2±2.0,6
