"contrast","DateType","estimate","SE","df","t.ratio","p.value"
"SHAM - CP","None",-27.0445295737321,5.83568617865814,778,-4.63433583399968,4.12073997061446e-05
"SHAM - (CP+S)","None",-22.8699574637055,5.81039638766132,778,-3.93604083746698,0.00085625520516508
"SHAM - CS","None",-1.06027776866837,6.9133241781055,778,-0.153367286323166,0.999875707823203
"SHAM - NoCo","None",-32.6898087645306,6.56035871685404,778,-4.98293007675755,7.63572587203498e-06
"CP - (CP+S)","None",4.17457211002655,5.96973753845601,778,0.699289053016935,0.956635143085448
"CP - CS","None",25.9842518050637,7.04777349862219,778,3.68687384890328,0.00225358434606004
"CP - NoCo","None",-5.6452791907985,6.70189276175811,778,-0.84234102088461,0.917290583569445
"(CP+S) - CS","None",21.8096796950372,7.02684739366434,778,3.10376452955298,0.0168943469152989
"(CP+S) - NoCo","None",-9.81985130082505,6.67988320227771,778,-1.47006332348396,0.582318519649882
"CS - NoCo","None",-31.6295309958622,7.65860200075067,778,-4.12993533190026,0.00038645771897361
"SHAM - CP","Basal TC",NA,NA,NA,NA,NA
"SHAM - (CP+S)","Basal TC",NA,NA,NA,NA,NA
"SHAM - CS","Basal TC",NA,NA,NA,NA,NA
"SHAM - NoCo","Basal TC",NA,NA,NA,NA,NA
"CP - (CP+S)","Basal TC",15.8192715217615,29.366222748764,778,0.538689352631413,0.852265460733823
"CP - CS","Basal TC",55.9551430146757,33.9091932181627,778,1.65014669192143,0.225356571622059
"CP - NoCo","Basal TC",NA,NA,NA,NA,NA
"(CP+S) - CS","Basal TC",40.1358714929141,33.9091932181628,778,1.18362802779443,0.46329612921811
"(CP+S) - NoCo","Basal TC",NA,NA,NA,NA,NA
"CS - NoCo","Basal TC",NA,NA,NA,NA,NA
"SHAM - CP","Basal TC-1",NA,NA,NA,NA,NA
"SHAM - (CP+S)","Basal TC-1",NA,NA,NA,NA,NA
"SHAM - CS","Basal TC-1",NA,NA,NA,NA,NA
"SHAM - NoCo","Basal TC-1",NA,NA,NA,NA,NA
"CP - (CP+S)","Basal TC-1",-43.3664453404774,29.366222748764,778,-1.4767457739284,0.302672997223192
"CP - CS","Basal TC-1",-14.7947809550129,33.909193218163,778,-0.436305896746853,0.900418009012922
