"contrast","DateType","estimate","SE","df","t.ratio","p.value"
"SHAM - NoCo","Basal TC",NA,NA,NA,NA,NA
"SHAM - CP","Basal TC",NA,NA,NA,NA,NA
"SHAM - CS","Basal TC",NA,NA,NA,NA,NA
"SHAM - (CP+S)","Basal TC",NA,NA,NA,NA,NA
"NoCo - CP","Basal TC",NA,NA,NA,NA,NA
"NoCo - CS","Basal TC",NA,NA,NA,NA,NA
"NoCo - (CP+S)","Basal TC",NA,NA,NA,NA,NA
"CP - CS","Basal TC",53.1564913802992,33.7009132205312,748,1.57730121532479,0.256102422821783
"CP - (CP+S)","Basal TC",13.2439560585938,29.1925494211025,748,0.453675897488422,0.892785460959553
"CS - (CP+S)","Basal TC",-39.9125353217055,33.6416075776414,748,-1.18640392643519,0.461645916312318
"SHAM - NoCo","Basal TC-1",NA,NA,NA,NA,NA
"SHAM - CP","Basal TC-1",NA,NA,NA,NA,NA
"SHAM - CS","Basal TC-1",NA,NA,NA,NA,NA
"SHAM - (CP+S)","Basal TC-1",NA,NA,NA,NA,NA
"NoCo - CP","Basal TC-1",NA,NA,NA,NA,NA
"NoCo - CS","Basal TC-1",NA,NA,NA,NA,NA
"NoCo - (CP+S)","Basal TC-1",NA,NA,NA,NA,NA
"CP - CS","Basal TC-1",-18.162357448696,33.7274842588045,748,-0.538503177685265,0.852360672935103
"CP - (CP+S)","Basal TC-1",-45.583212560719,29.1775013113015,748,-1.56227265914176,0.262759894432753
"CS - (CP+S)","Basal TC-1",-27.420855112023,33.6512422771246,748,-0.814854170500062,0.693928350714656
"SHAM - NoCo","Basal TC + 1",NA,NA,NA,NA,NA
"SHAM - CP","Basal TC + 1",NA,NA,NA,NA,NA
"SHAM - CS","Basal TC + 1",NA,NA,NA,NA,NA
"SHAM - (CP+S)","Basal TC + 1",NA,NA,NA,NA,NA
"NoCo - CP","Basal TC + 1",NA,NA,NA,NA,NA
"NoCo - CS","Basal TC + 1",NA,NA,NA,NA,NA
"NoCo - (CP+S)","Basal TC + 1",NA,NA,NA,NA,NA
"CP - CS","Basal TC + 1",-18.5694914309471,33.7129250882394,748,-0.55081222950378,0.846093408132849
