No.s	Time	T1	Unit
1	18:25:55	28.3	C
2	18:26:10	28.3	C
3	18:26:25	28.6	C
4	18:26:40	28.9	C
5	18:26:55	28.9	C
6	18:27:10	28.9	C
7	18:27:25	28.9	C
8	18:27:40	29	C
9	18:27:55	29	C
10	18:28:10	28.4	C
11	18:28:25	26.8	C
12	18:28:40	25.1	C
13	18:28:55	23.8	C
14	18:29:10	23	C
15	18:29:25	22.2	C
16	18:29:40	21.6	C
17	18:29:55	21.2	C
18	18:30:10	20.9	C
19	18:30:25	20.6	C
20	18:30:40	20.4	C
21	18:30:55	20.1	C
22	18:31:10	20	C
23	18:31:25	19.8	C
24	18:31:40	19.7	C
25	18:31:55	19.4	C
26	18:32:10	19.3	C
27	18:32:25	19.2	C
28	18:32:40	19.1	C
29	18:32:55	19	C
30	18:33:10	18.9	C
31	18:33:25	18.7	C
32	18:33:40	18.6	C
33	18:33:55	18.4	C
34	18:34:10	18.3	C
35	18:34:25	18.2	C
36	18:34:40	18.2	C
37	18:34:55	18.1	C
38	18:35:10	17.8	C
39	18:35:25	17.8	C
40	18:35:40	17.6	C
41	18:35:55	17.6	C
42	18:36:10	17.5	C
43	18:36:25	17.4	C
44	18:36:40	17.2	C
45	18:36:55	17.1	C
46	18:37:10	17	C
47	18:37:25	16.9	C
48	18:37:40	16.8	C
49	18:37:55	16.6	C
50	18:38:10	16.6	C
51	18:38:25	16.6	C
52	18:38:40	16.5	C
53	18:38:55	16.3	C
54	18:39:10	16.3	C
55	18:39:25	16.2	C
56	18:39:40	16.1	C
57	18:39:55	15.9	C
58	18:40:10	15.9	C
59	18:40:25	15.8	C
60	18:40:40	15.8	C
61	18:40:55	15.7	C
62	18:41:10	15.6	C
63	18:41:25	15.5	C
64	18:41:40	15.4	C
65	18:41:55	15.3	C
66	18:42:10	15.2	C
67	18:42:25	15.2	C
68	18:42:40	15.2	C
69	18:42:55	15.1	C
70	18:43:10	15	C
71	18:43:25	14.9	C
72	18:43:40	14.8	C
73	18:43:55	14.8	C
74	18:44:10	14.7	C
75	18:44:25	14.7	C
76	18:44:40	14.6	C
77	18:44:55	14.5	C
78	18:45:10	14.4	C
79	18:45:25	14.4	C
80	18:45:40	14.3	C
81	18:45:55	14.3	C
82	18:46:10	14.2	C
83	18:46:25	14.1	C
84	18:46:40	14.1	C
85	18:46:55	13.9	C
86	18:47:10	13.9	C
87	18:47:25	13.9	C
88	18:47:40	13.8	C
89	18:47:55	13.7	C
90	18:48:10	13.7	C
91	18:48:25	13.6	C
92	18:48:40	13.6	C
93	18:48:55	13.5	C
94	18:49:10	13.4	C
95	18:49:25	13.4	C
96	18:49:40	13.4	C
97	18:49:55	13.3	C
98	18:50:10	13.3	C
99	18:50:25	13.3	C
100	18:50:40	13.2	C
