1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: B5000000811F5F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Sat Jun 14 17:20:01 EAT 2025
Mission Sample Count:  1756
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Jun 14 17:20:01 EAT 2025
Total Mission Samples:  1756
Total Device Samples:  18865
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/14/25 5:20:01 PM,C,30.086
6/14/25 5:25:01 PM,C,31.585
6/14/25 5:30:01 PM,C,29.087
6/14/25 5:35:01 PM,C,28.587
6/14/25 5:40:01 PM,C,28.087
6/14/25 5:45:01 PM,C,28.087
6/14/25 5:50:01 PM,C,28.587
6/14/25 5:55:01 PM,C,28.587
6/14/25 6:00:01 PM,C,28.087
6/14/25 6:05:01 PM,C,28.087
6/14/25 6:10:01 PM,C,28.087
6/14/25 6:15:01 PM,C,28.087
6/14/25 6:20:01 PM,C,28.087
6/14/25 6:25:01 PM,C,28.087
6/14/25 6:30:01 PM,C,27.587
6/14/25 6:35:01 PM,C,27.587
6/14/25 6:40:01 PM,C,27.088
6/14/25 6:45:01 PM,C,26.588
6/14/25 6:50:01 PM,C,26.588
6/14/25 6:55:01 PM,C,26.088
6/14/25 7:00:01 PM,C,26.088
6/14/25 7:05:01 PM,C,25.588
6/14/25 7:10:01 PM,C,25.588
6/14/25 7:15:01 PM,C,25.588
6/14/25 7:20:01 PM,C,25.088
6/14/25 7:25:01 PM,C,25.088
6/14/25 7:30:01 PM,C,25.088
6/14/25 7:35:01 PM,C,24.588
6/14/25 7:40:01 PM,C,24.588
6/14/25 7:45:01 PM,C,24.588
6/14/25 7:50:01 PM,C,24.588
6/14/25 7:55:01 PM,C,24.588
6/14/25 8:00:01 PM,C,24.588
6/14/25 8:05:01 PM,C,24.588
6/14/25 8:10:01 PM,C,24.588
6/14/25 8:15:01 PM,C,24.088
6/14/25 8:20:01 PM,C,24.088
6/14/25 8:25:01 PM,C,24.088
6/14/25 8:30:01 PM,C,24.088
6/14/25 8:35:01 PM,C,24.088
6/14/25 8:40:01 PM,C,24.088
6/14/25 8:45:01 PM,C,24.088
6/14/25 8:50:01 PM,C,23.588
6/14/25 8:55:01 PM,C,23.088
6/14/25 9:00:01 PM,C,23.088
6/14/25 9:05:01 PM,C,23.588
6/14/25 9:10:01 PM,C,23.588
6/14/25 9:15:01 PM,C,23.588
6/14/25 9:20:01 PM,C,23.588
6/14/25 9:25:01 PM,C,23.588
6/14/25 9:30:01 PM,C,23.088
6/14/25 9:35:01 PM,C,23.088
6/14/25 9:40:01 PM,C,23.088
6/14/25 9:45:01 PM,C,23.088
6/14/25 9:50:01 PM,C,23.088
6/14/25 9:55:01 PM,C,23.088
6/14/25 10:00:01 PM,C,23.088
6/14/25 10:05:01 PM,C,22.588
6/14/25 10:10:01 PM,C,22.588
6/14/25 10:15:01 PM,C,22.588
6/14/25 10:20:01 PM,C,22.588
6/14/25 10:25:01 PM,C,22.588
6/14/25 10:30:01 PM,C,22.588
6/14/25 10:35:01 PM,C,22.588
6/14/25 10:40:01 PM,C,22.588
6/14/25 10:45:01 PM,C,22.588
6/14/25 10:50:01 PM,C,22.588
6/14/25 10:55:01 PM,C,22.588
6/14/25 11:00:01 PM,C,22.588
6/14/25 11:05:01 PM,C,22.588
6/14/25 11:10:01 PM,C,22.588
6/14/25 11:15:01 PM,C,22.588
6/14/25 11:20:01 PM,C,22.588
6/14/25 11:25:01 PM,C,22.588
6/14/25 11:30:01 PM,C,22.588
6/14/25 11:35:01 PM,C,22.588
6/14/25 11:40:01 PM,C,22.588
6/14/25 11:45:01 PM,C,22.588
6/14/25 11:50:01 PM,C,22.588
6/14/25 11:55:01 PM,C,22.588
6/15/25 12:00:01 AM,C,22.588
6/15/25 12:05:01 AM,C,22.588
6/15/25 12:10:01 AM,C,22.588
6/15/25 12:15:01 AM,C,22.588
6/15/25 12:20:01 AM,C,22.588
6/15/25 12:25:01 AM,C,22.588
6/15/25 12:30:01 AM,C,22.588
6/15/25 12:35:01 AM,C,22.588
6/15/25 12:40:01 AM,C,22.588
6/15/25 12:45:01 AM,C,22.588
6/15/25 12:50:01 AM,C,22.588
6/15/25 12:55:01 AM,C,22.588
6/15/25 1:00:01 AM,C,22.588
6/15/25 1:05:01 AM,C,22.087
6/15/25 1:10:01 AM,C,22.087
6/15/25 1:15:01 AM,C,22.087
6/15/25 1:20:01 AM,C,22.087
6/15/25 1:25:01 AM,C,22.087
6/15/25 1:30:01 AM,C,22.087
6/15/25 1:35:01 AM,C,22.087
6/15/25 1:40:01 AM,C,22.087
6/15/25 1:45:01 AM,C,22.087
6/15/25 1:50:01 AM,C,22.087
6/15/25 1:55:01 AM,C,22.087
6/15/25 2:00:01 AM,C,22.087
6/15/25 2:05:01 AM,C,21.587
6/15/25 2:10:01 AM,C,21.587
6/15/25 2:15:01 AM,C,21.587
6/15/25 2:20:01 AM,C,21.587
6/15/25 2:25:01 AM,C,21.587
6/15/25 2:30:01 AM,C,21.587
6/15/25 2:35:01 AM,C,21.587
6/15/25 2:40:01 AM,C,21.587
6/15/25 2:45:01 AM,C,21.587
6/15/25 2:50:01 AM,C,21.587
6/15/25 2:55:01 AM,C,21.587
6/15/25 3:00:01 AM,C,21.587
6/15/25 3:05:01 AM,C,21.587
6/15/25 3:10:01 AM,C,21.587
6/15/25 3:15:01 AM,C,21.087
6/15/25 3:20:01 AM,C,21.087
6/15/25 3:25:01 AM,C,21.087
6/15/25 3:30:01 AM,C,21.087
6/15/25 3:35:01 AM,C,21.087
6/15/25 3:40:01 AM,C,21.087
6/15/25 3:45:01 AM,C,21.087
6/15/25 3:50:01 AM,C,21.087
6/15/25 3:55:01 AM,C,21.087
6/15/25 4:00:01 AM,C,21.087
6/15/25 4:05:01 AM,C,21.087
6/15/25 4:10:01 AM,C,21.087
6/15/25 4:15:01 AM,C,21.087
6/15/25 4:20:01 AM,C,21.087
6/15/25 4:25:01 AM,C,21.087
6/15/25 4:30:01 AM,C,20.587
6/15/25 4:35:01 AM,C,20.587
6/15/25 4:40:01 AM,C,20.587
6/15/25 4:45:01 AM,C,20.587
6/15/25 4:50:01 AM,C,20.587
6/15/25 4:55:01 AM,C,20.087
6/15/25 5:00:01 AM,C,20.087
6/15/25 5:05:01 AM,C,20.587
6/15/25 5:10:01 AM,C,20.587
6/15/25 5:15:01 AM,C,20.587
6/15/25 5:20:01 AM,C,20.587
6/15/25 5:25:01 AM,C,20.587
6/15/25 5:30:01 AM,C,20.587
6/15/25 5:35:01 AM,C,20.587
6/15/25 5:40:01 AM,C,20.587
6/15/25 5:45:01 AM,C,20.587
6/15/25 5:50:01 AM,C,20.587
6/15/25 5:55:01 AM,C,20.587
6/15/25 6:00:01 AM,C,20.587
6/15/25 6:05:01 AM,C,20.587
6/15/25 6:10:01 AM,C,20.587
6/15/25 6:15:01 AM,C,20.087
6/15/25 6:20:01 AM,C,20.087
6/15/25 6:25:01 AM,C,20.087
6/15/25 6:30:01 AM,C,20.087
6/15/25 6:35:01 AM,C,20.087
6/15/25 6:40:01 AM,C,20.087
6/15/25 6:45:01 AM,C,20.087
6/15/25 6:50:01 AM,C,20.087
6/15/25 6:55:01 AM,C,20.087
6/15/25 7:00:01 AM,C,20.087
6/15/25 7:05:01 AM,C,20.087
6/15/25 7:10:01 AM,C,20.087
6/15/25 7:15:01 AM,C,20.087
6/15/25 7:20:01 AM,C,20.087
6/15/25 7:25:01 AM,C,20.087
6/15/25 7:30:01 AM,C,20.587
6/15/25 7:35:01 AM,C,20.087
6/15/25 7:40:01 AM,C,20.087
6/15/25 7:45:01 AM,C,20.087
6/15/25 7:50:01 AM,C,20.587
6/15/25 7:55:01 AM,C,20.587
6/15/25 8:00:01 AM,C,20.587
6/15/25 8:05:01 AM,C,21.087
6/15/25 8:10:01 AM,C,21.087
6/15/25 8:15:01 AM,C,21.087
6/15/25 8:20:01 AM,C,21.087
6/15/25 8:25:01 AM,C,21.087
6/15/25 8:30:01 AM,C,20.587
6/15/25 8:35:01 AM,C,20.587
6/15/25 8:40:01 AM,C,20.587
6/15/25 8:45:01 AM,C,20.587
6/15/25 8:50:01 AM,C,21.087
6/15/25 8:55:01 AM,C,21.087
6/15/25 9:00:01 AM,C,21.087
6/15/25 9:05:01 AM,C,21.087
6/15/25 9:10:01 AM,C,21.587
6/15/25 9:15:01 AM,C,21.587
6/15/25 9:20:01 AM,C,22.087
6/15/25 9:25:01 AM,C,22.588
6/15/25 9:30:01 AM,C,22.588
6/15/25 9:35:01 AM,C,23.088
6/15/25 9:40:01 AM,C,23.088
6/15/25 9:45:01 AM,C,23.588
6/15/25 9:50:01 AM,C,23.588
6/15/25 9:55:01 AM,C,23.588
6/15/25 10:00:01 AM,C,23.588
6/15/25 10:05:01 AM,C,24.088
6/15/25 10:10:01 AM,C,24.088
6/15/25 10:15:01 AM,C,24.088
6/15/25 10:20:01 AM,C,24.088
6/15/25 10:25:01 AM,C,24.588
6/15/25 10:30:01 AM,C,24.588
6/15/25 10:35:01 AM,C,24.588
6/15/25 10:40:01 AM,C,25.088
6/15/25 10:45:01 AM,C,25.088
6/15/25 10:50:01 AM,C,25.088
6/15/25 10:55:01 AM,C,25.088
6/15/25 11:00:01 AM,C,25.588
6/15/25 11:05:01 AM,C,25.588
6/15/25 11:10:01 AM,C,25.588
6/15/25 11:15:01 AM,C,25.588
6/15/25 11:20:01 AM,C,25.588
6/15/25 11:25:01 AM,C,25.588
6/15/25 11:30:01 AM,C,25.588
6/15/25 11:35:01 AM,C,25.588
6/15/25 11:40:01 AM,C,26.088
6/15/25 11:45:01 AM,C,26.088
6/15/25 11:50:01 AM,C,26.088
6/15/25 11:55:01 AM,C,26.088
6/15/25 12:00:01 PM,C,26.088
6/15/25 12:05:01 PM,C,26.088
6/15/25 12:10:01 PM,C,26.588
6/15/25 12:15:01 PM,C,26.588
6/15/25 12:20:01 PM,C,26.588
6/15/25 12:25:01 PM,C,26.588
6/15/25 12:30:01 PM,C,26.588
6/15/25 12:35:01 PM,C,26.588
6/15/25 12:40:01 PM,C,26.088
6/15/25 12:45:01 PM,C,26.588
6/15/25 12:50:01 PM,C,26.588
6/15/25 12:55:01 PM,C,26.588
6/15/25 1:00:01 PM,C,26.588
6/15/25 1:05:01 PM,C,27.088
6/15/25 1:10:01 PM,C,27.088
6/15/25 1:15:01 PM,C,27.088
6/15/25 1:20:01 PM,C,27.088
6/15/25 1:25:01 PM,C,27.088
6/15/25 1:30:01 PM,C,27.088
6/15/25 1:35:01 PM,C,27.088
6/15/25 1:40:01 PM,C,27.088
6/15/25 1:45:01 PM,C,27.587
6/15/25 1:50:01 PM,C,27.587
6/15/25 1:55:01 PM,C,27.587
6/15/25 2:00:01 PM,C,27.587
6/15/25 2:05:01 PM,C,27.088
6/15/25 2:10:01 PM,C,27.587
6/15/25 2:15:01 PM,C,27.587
6/15/25 2:20:01 PM,C,27.587
6/15/25 2:25:01 PM,C,27.587
6/15/25 2:30:01 PM,C,27.587
6/15/25 2:35:01 PM,C,27.587
6/15/25 2:40:01 PM,C,27.587
6/15/25 2:45:01 PM,C,27.587
6/15/25 2:50:01 PM,C,27.587
6/15/25 2:55:01 PM,C,28.087
6/15/25 3:00:01 PM,C,28.087
6/15/25 3:05:01 PM,C,28.087
6/15/25 3:10:01 PM,C,28.087
6/15/25 3:15:01 PM,C,28.087
6/15/25 3:20:01 PM,C,28.087
6/15/25 3:25:01 PM,C,28.087
6/15/25 3:30:01 PM,C,28.087
6/15/25 3:35:01 PM,C,28.087
6/15/25 3:40:01 PM,C,28.087
6/15/25 3:45:01 PM,C,28.087
6/15/25 3:50:01 PM,C,28.087
6/15/25 3:55:01 PM,C,28.087
6/15/25 4:00:01 PM,C,28.087
6/15/25 4:05:01 PM,C,28.087
6/15/25 4:10:01 PM,C,28.087
6/15/25 4:15:01 PM,C,28.087
6/15/25 4:20:01 PM,C,28.087
6/15/25 4:25:01 PM,C,28.087
6/15/25 4:30:01 PM,C,28.087
6/15/25 4:35:01 PM,C,28.087
6/15/25 4:40:01 PM,C,28.087
6/15/25 4:45:01 PM,C,28.087
6/15/25 4:50:01 PM,C,28.087
6/15/25 4:55:01 PM,C,28.087
6/15/25 5:00:01 PM,C,28.087
6/15/25 5:05:01 PM,C,28.087
6/15/25 5:10:01 PM,C,28.087
6/15/25 5:15:01 PM,C,28.087
6/15/25 5:20:01 PM,C,28.087
6/15/25 5:25:01 PM,C,28.087
6/15/25 5:30:01 PM,C,27.587
6/15/25 5:35:01 PM,C,27.587
6/15/25 5:40:01 PM,C,27.587
6/15/25 5:45:01 PM,C,27.587
6/15/25 5:50:01 PM,C,27.587
6/15/25 5:55:01 PM,C,27.587
6/15/25 6:00:01 PM,C,27.587
6/15/25 6:05:01 PM,C,27.587
6/15/25 6:10:01 PM,C,27.088
6/15/25 6:15:01 PM,C,27.088
6/15/25 6:20:01 PM,C,27.088
6/15/25 6:25:01 PM,C,26.588
6/15/25 6:30:01 PM,C,26.588
6/15/25 6:35:01 PM,C,26.088
6/15/25 6:40:01 PM,C,26.088
6/15/25 6:45:01 PM,C,25.588
6/15/25 6:50:01 PM,C,25.588
6/15/25 6:55:01 PM,C,25.588
6/15/25 7:00:01 PM,C,25.088
6/15/25 7:05:01 PM,C,25.088
6/15/25 7:10:01 PM,C,25.088
6/15/25 7:15:01 PM,C,24.588
6/15/25 7:20:01 PM,C,24.588
6/15/25 7:25:01 PM,C,24.588
6/15/25 7:30:01 PM,C,24.588
6/15/25 7:35:01 PM,C,24.588
6/15/25 7:40:01 PM,C,24.588
6/15/25 7:45:01 PM,C,24.088
6/15/25 7:50:01 PM,C,24.088
6/15/25 7:55:01 PM,C,24.088
6/15/25 8:00:01 PM,C,24.088
6/15/25 8:05:01 PM,C,24.088
6/15/25 8:10:01 PM,C,24.088
6/15/25 8:15:01 PM,C,23.588
6/15/25 8:20:01 PM,C,23.588
6/15/25 8:25:01 PM,C,23.088
6/15/25 8:30:01 PM,C,23.088
6/15/25 8:35:01 PM,C,23.088
6/15/25 8:40:01 PM,C,23.088
6/15/25 8:45:01 PM,C,23.088
6/15/25 8:50:01 PM,C,23.088
6/15/25 8:55:01 PM,C,23.088
6/15/25 9:00:01 PM,C,22.588
6/15/25 9:05:01 PM,C,22.588
6/15/25 9:10:01 PM,C,22.588
6/15/25 9:15:01 PM,C,22.588
6/15/25 9:20:01 PM,C,22.588
6/15/25 9:25:01 PM,C,22.588
6/15/25 9:30:01 PM,C,22.588
6/15/25 9:35:01 PM,C,22.087
6/15/25 9:40:01 PM,C,22.087
6/15/25 9:45:01 PM,C,22.087
6/15/25 9:50:01 PM,C,22.087
6/15/25 9:55:01 PM,C,22.087
6/15/25 10:00:01 PM,C,22.087
6/15/25 10:05:01 PM,C,22.087
6/15/25 10:10:01 PM,C,22.087
6/15/25 10:15:01 PM,C,22.087
6/15/25 10:20:01 PM,C,22.087
6/15/25 10:25:01 PM,C,22.087
6/15/25 10:30:01 PM,C,22.087
6/15/25 10:35:01 PM,C,22.087
6/15/25 10:40:01 PM,C,22.087
6/15/25 10:45:01 PM,C,22.087
6/15/25 10:50:01 PM,C,21.587
6/15/25 10:55:01 PM,C,21.587
6/15/25 11:00:01 PM,C,21.587
6/15/25 11:05:01 PM,C,21.587
6/15/25 11:10:01 PM,C,21.087
6/15/25 11:15:01 PM,C,21.087
6/15/25 11:20:01 PM,C,21.087
6/15/25 11:25:01 PM,C,21.087
6/15/25 11:30:01 PM,C,21.087
6/15/25 11:35:01 PM,C,21.087
6/15/25 11:40:01 PM,C,21.087
6/15/25 11:45:01 PM,C,21.087
6/15/25 11:50:01 PM,C,21.087
6/15/25 11:55:01 PM,C,21.087
6/16/25 12:00:01 AM,C,21.087
6/16/25 12:05:01 AM,C,21.087
6/16/25 12:10:01 AM,C,21.587
6/16/25 12:15:01 AM,C,21.587
6/16/25 12:20:01 AM,C,21.587
6/16/25 12:25:01 AM,C,21.587
6/16/25 12:30:01 AM,C,21.587
6/16/25 12:35:01 AM,C,21.587
6/16/25 12:40:01 AM,C,21.587
6/16/25 12:45:01 AM,C,21.587
6/16/25 12:50:01 AM,C,21.587
6/16/25 12:55:01 AM,C,21.587
6/16/25 1:00:01 AM,C,21.587
6/16/25 1:05:01 AM,C,21.087
6/16/25 1:10:01 AM,C,21.087
6/16/25 1:15:01 AM,C,21.087
6/16/25 1:20:01 AM,C,21.087
6/16/25 1:25:01 AM,C,21.087
6/16/25 1:30:01 AM,C,21.087
6/16/25 1:35:01 AM,C,21.087
6/16/25 1:40:01 AM,C,20.587
6/16/25 1:45:01 AM,C,20.587
6/16/25 1:50:01 AM,C,20.587
6/16/25 1:55:01 AM,C,20.587
6/16/25 2:00:01 AM,C,20.587
6/16/25 2:05:01 AM,C,20.587
6/16/25 2:10:01 AM,C,20.587
6/16/25 2:15:01 AM,C,20.587
6/16/25 2:20:01 AM,C,20.587
6/16/25 2:25:01 AM,C,20.587
6/16/25 2:30:01 AM,C,20.587
6/16/25 2:35:01 AM,C,20.587
6/16/25 2:40:01 AM,C,20.587
6/16/25 2:45:01 AM,C,20.587
6/16/25 2:50:01 AM,C,20.587
6/16/25 2:55:01 AM,C,20.587
6/16/25 3:00:01 AM,C,20.087
6/16/25 3:05:01 AM,C,20.087
6/16/25 3:10:01 AM,C,20.087
6/16/25 3:15:01 AM,C,20.087
6/16/25 3:20:01 AM,C,20.087
6/16/25 3:25:01 AM,C,19.586
6/16/25 3:30:01 AM,C,19.586
6/16/25 3:35:01 AM,C,19.586
6/16/25 3:40:01 AM,C,19.586
6/16/25 3:45:01 AM,C,19.586
6/16/25 3:50:01 AM,C,19.586
6/16/25 3:55:01 AM,C,19.586
6/16/25 4:00:01 AM,C,19.586
6/16/25 4:05:01 AM,C,19.586
6/16/25 4:10:01 AM,C,19.586
6/16/25 4:15:01 AM,C,19.586
6/16/25 4:20:01 AM,C,19.586
6/16/25 4:25:01 AM,C,19.586
6/16/25 4:30:01 AM,C,19.586
6/16/25 4:35:01 AM,C,19.586
6/16/25 4:40:01 AM,C,19.586
6/16/25 4:45:01 AM,C,19.586
6/16/25 4:50:01 AM,C,19.586
6/16/25 4:55:01 AM,C,19.586
6/16/25 5:00:01 AM,C,19.586
6/16/25 5:05:01 AM,C,19.586
6/16/25 5:10:01 AM,C,19.586
6/16/25 5:15:01 AM,C,19.586
6/16/25 5:20:01 AM,C,19.586
6/16/25 5:25:01 AM,C,19.586
6/16/25 5:30:01 AM,C,19.586
6/16/25 5:35:01 AM,C,19.586
6/16/25 5:40:01 AM,C,19.586
6/16/25 5:45:01 AM,C,19.586
6/16/25 5:50:01 AM,C,19.586
6/16/25 5:55:01 AM,C,19.586
6/16/25 6:00:01 AM,C,19.586
6/16/25 6:05:01 AM,C,19.586
6/16/25 6:10:01 AM,C,19.586
6/16/25 6:15:01 AM,C,19.586
6/16/25 6:20:01 AM,C,20.087
6/16/25 6:25:01 AM,C,20.087
6/16/25 6:30:01 AM,C,20.087
6/16/25 6:35:01 AM,C,20.087
6/16/25 6:40:01 AM,C,20.087
6/16/25 6:45:01 AM,C,20.087
6/16/25 6:50:01 AM,C,20.587
6/16/25 6:55:01 AM,C,20.587
6/16/25 7:00:01 AM,C,20.587
6/16/25 7:05:01 AM,C,20.587
6/16/25 7:10:01 AM,C,20.587
6/16/25 7:15:01 AM,C,20.587
6/16/25 7:20:01 AM,C,20.587
6/16/25 7:25:01 AM,C,20.587
6/16/25 7:30:01 AM,C,20.587
6/16/25 7:35:01 AM,C,20.587
6/16/25 7:40:01 AM,C,20.587
6/16/25 7:45:01 AM,C,20.587
6/16/25 7:50:01 AM,C,21.087
6/16/25 7:55:01 AM,C,21.087
6/16/25 8:00:01 AM,C,21.087
6/16/25 8:05:01 AM,C,21.087
6/16/25 8:10:01 AM,C,21.587
6/16/25 8:15:01 AM,C,21.587
6/16/25 8:20:01 AM,C,22.087
6/16/25 8:25:01 AM,C,22.588
6/16/25 8:30:01 AM,C,22.588
6/16/25 8:35:01 AM,C,22.588
6/16/25 8:40:01 AM,C,22.588
6/16/25 8:45:01 AM,C,23.088
6/16/25 8:50:01 AM,C,23.088
6/16/25 8:55:01 AM,C,23.588
6/16/25 9:00:01 AM,C,23.588
6/16/25 9:05:01 AM,C,23.588
6/16/25 9:10:01 AM,C,24.088
6/16/25 9:15:01 AM,C,24.088
6/16/25 9:20:01 AM,C,24.088
6/16/25 9:25:01 AM,C,24.088
6/16/25 9:30:01 AM,C,24.088
6/16/25 9:35:01 AM,C,24.088
6/16/25 9:40:01 AM,C,24.588
