DateTime	Unit	Value	NumberDate
2025-06-03T16:20:00Z	C	22.093	1748967600
2025-06-03T16:30:00Z	C	22.093	1748968200
2025-06-03T16:40:00Z	C	22.593	1748968800
2025-06-03T16:50:00Z	C	23.093	1748969400
2025-06-03T17:00:00Z	C	22.593	1748970000
2025-06-03T17:10:00Z	C	22.593	1748970600
2025-06-03T17:20:00Z	C	23.093	1748971200
2025-06-03T17:30:00Z	C	23.093	1748971800
2025-06-03T17:40:00Z	C	23.093	1748972400
2025-06-03T17:50:00Z	C	23.093	1748973000
2025-06-03T18:00:00Z	C	23.093	1748973600
2025-06-03T18:10:00Z	C	23.093	1748974200
2025-06-03T18:20:00Z	C	23.093	1748974800
2025-06-03T18:30:00Z	C	23.093	1748975400
2025-06-03T18:40:00Z	C	23.594	1748976000
2025-06-03T18:50:00Z	C	23.093	1748976600
2025-06-03T19:00:00Z	C	22.593	1748977200
2025-06-03T19:10:00Z	C	22.093	1748977800
2025-06-03T19:20:00Z	C	22.093	1748978400
2025-06-03T19:30:00Z	C	22.093	1748979000
2025-06-03T19:40:00Z	C	22.093	1748979600
2025-06-03T19:50:00Z	C	21.592	1748980200
2025-06-03T20:00:00Z	C	21.592	1748980800
2025-06-03T20:10:00Z	C	21.592	1748981400
2025-06-03T20:20:00Z	C	21.592	1748982000
2025-06-03T20:30:00Z	C	21.592	1748982600
2025-06-03T20:40:00Z	C	21.592	1748983200
2025-06-03T20:50:00Z	C	21.592	1748983800
2025-06-03T21:00:00Z	C	21.592	1748984400
2025-06-03T21:10:00Z	C	21.592	1748985000
2025-06-03T21:20:00Z	C	21.092	1748985600
2025-06-03T21:30:00Z	C	21.092	1748986200
2025-06-03T21:40:00Z	C	21.092	1748986800
2025-06-03T21:50:00Z	C	21.092	1748987400
2025-06-03T22:00:00Z	C	20.591	1748988000
2025-06-03T22:10:00Z	C	20.591	1748988600
2025-06-03T22:20:00Z	C	20.591	1748989200
2025-06-03T22:30:00Z	C	20.591	1748989800
2025-06-03T22:40:00Z	C	20.591	1748990400
2025-06-03T22:50:00Z	C	20.591	1748991000
2025-06-03T23:00:00Z	C	20.591	1748991600
2025-06-03T23:10:00Z	C	20.591	1748992200
2025-06-03T23:20:00Z	C	20.591	1748992800
2025-06-03T23:30:00Z	C	20.591	1748993400
2025-06-03T23:40:00Z	C	20.591	1748994000
2025-06-03T23:50:00Z	C	20.591	1748994600
2025-06-04T00:00:00Z	C	20.591	1748995200
2025-06-04T00:10:00Z	C	20.591	1748995800
2025-06-04T00:20:00Z	C	20.591	1748996400
2025-06-04T00:30:00Z	C	20.591	1748997000
2025-06-04T00:40:00Z	C	20.591	1748997600
2025-06-04T00:50:00Z	C	20.591	1748998200
2025-06-04T01:00:00Z	C	20.591	1748998800
2025-06-04T01:10:00Z	C	20.591	1748999400
2025-06-04T01:30:00Z	C	20.591	1749000600
2025-06-04T01:40:00Z	C	20.591	1749001200
2025-06-04T01:50:00Z	C	20.591	1749001800
2025-06-04T02:00:00Z	C	20.591	1749002400
2025-06-04T02:10:00Z	C	20.591	1749003000
2025-06-04T02:20:00Z	C	20.591	1749003600
2025-06-04T02:30:00Z	C	20.591	1749004200
2025-06-04T02:40:00Z	C	21.092	1749004800
2025-06-04T02:50:00Z	C	21.092	1749005400
2025-06-04T03:00:00Z	C	21.092	1749006000
2025-06-04T03:10:00Z	C	20.091	1749006600
2025-06-04T03:20:00Z	C	20.091	1749007200
2025-06-04T03:30:00Z	C	20.091	1749007800
2025-06-04T03:40:00Z	C	20.091	1749008400
2025-06-04T03:50:00Z	C	20.091	1749009000
2025-06-04T04:00:00Z	C	19.59	1749009600
2025-06-04T04:10:00Z	C	19.59	1749010200
2025-06-04T04:20:00Z	C	19.59	1749010800
2025-06-04T04:30:00Z	C	19.59	1749011400
2025-06-04T04:40:00Z	C	19.59	1749012000
2025-06-04T04:50:00Z	C	19.59	1749012600
2025-06-04T05:00:00Z	C	19.089	1749013200
2025-06-04T05:10:00Z	C	19.089	1749013800
2025-06-04T05:20:00Z	C	19.089	1749014400
2025-06-04T05:30:00Z	C	19.089	1749015000
2025-06-04T05:40:00Z	C	19.089	1749015600
2025-06-04T05:50:00Z	C	19.089	1749016200
2025-06-04T06:00:00Z	C	19.59	1749016800
2025-06-04T06:10:00Z	C	19.089	1749017400
2025-06-04T06:20:00Z	C	19.089	1749018000
2025-06-04T06:30:00Z	C	19.089	1749018600
2025-06-04T06:40:00Z	C	18.589	1749019200
2025-06-04T06:50:00Z	C	18.589	1749019800
2025-06-04T07:00:00Z	C	18.589	1749020400
2025-06-04T07:10:00Z	C	19.089	1749021000
2025-06-04T07:20:00Z	C	19.089	1749021600
2025-06-04T07:30:00Z	C	19.59	1749022200
2025-06-04T07:40:00Z	C	19.59	1749022800
2025-06-04T07:50:00Z	C	19.59	1749023400
2025-06-04T08:00:00Z	C	19.59	1749024000
2025-06-04T08:10:00Z	C	20.091	1749024600
2025-06-04T08:20:00Z	C	20.591	1749025200
2025-06-04T08:30:00Z	C	21.592	1749025800
2025-06-04T08:40:00Z	C	22.593	1749026400
2025-06-04T08:50:00Z	C	24.094	1749027000
2025-06-04T09:00:00Z	C	24.594	1749027600
2025-06-04T09:10:00Z	C	25.094	1749028200
2025-06-04T09:20:00Z	C	26.593	1749028800
2025-06-04T09:30:00Z	C	26.593	1749029400
2025-06-04T09:40:00Z	C	26.094	1749030000
2025-06-04T09:50:00Z	C	25.094	1749030600
2025-06-04T10:00:00Z	C	25.094	1749031200
2025-06-04T10:10:00Z	C	25.094	1749031800
2025-06-04T10:20:00Z	C	25.094	1749032400
2025-06-04T10:30:00Z	C	25.094	1749033000
2025-06-04T10:40:00Z	C	25.094	1749033600
2025-06-04T10:50:00Z	C	25.094	1749034200
2025-06-04T11:00:00Z	C	25.094	1749034800
2025-06-04T11:10:00Z	C	25.594	1749035400
2025-06-04T11:20:00Z	C	26.094	1749036000
2025-06-04T11:30:00Z	C	26.094	1749036600
2025-06-04T11:40:00Z	C	26.094	1749037200
2025-06-04T11:50:00Z	C	26.094	1749037800
2025-06-04T12:00:00Z	C	26.593	1749038400
2025-06-04T12:10:00Z	C	26.593	1749039000
2025-06-04T12:20:00Z	C	27.093	1749039600
2025-06-04T12:30:00Z	C	27.093	1749040200
2025-06-04T12:40:00Z	C	27.093	1749040800
2025-06-04T12:50:00Z	C	27.093	1749041400
2025-06-04T13:00:00Z	C	27.093	1749042000
2025-06-04T13:10:00Z	C	27.593	1749042600
2025-06-04T13:20:00Z	C	27.593	1749043200
2025-06-04T13:30:00Z	C	27.593	1749043800
2025-06-04T13:40:00Z	C	27.593	1749044400
