Bat_ID	Bat Pittag	Group	Treatment	Innoculation Date	Boost Date
16	IE36102	1	SHAM	2025-05-15T00:00:00Z	2025-06-05T00:00:00Z
41	IE36058	2	SHAM	2025-05-17T00:00:00Z	2025-06-07T00:00:00Z
47	IE36060	2	SHAM	2025-05-17T00:00:00Z	2025-06-07T00:00:00Z
48	IE36051	2	eVLP+LPS	2025-05-17T00:00:00Z	2025-06-07T00:00:00Z
49	IE36009	1	SHAM	2025-05-15T00:00:00Z	2025-06-05T00:00:00Z
62	IE36098	2	eVLP+LPS	2025-05-17T00:00:00Z	2025-06-07T00:00:00Z
26	IE36030	1	eVLP+LPS	2025-05-15T00:00:00Z	2025-06-05T00:00:00Z
22	IE36082	1	eVLP+LPS	2025-05-15T00:00:00Z	2025-06-05T00:00:00Z
64	IE36054	3	TC	2025-05-26T00:00:00Z	2025-06-16T00:00:00Z
68	IE36095	3	TC	2025-05-26T00:00:00Z	2025-06-16T00:00:00Z
73	IE36075	3	TC	2025-05-26T00:00:00Z	2025-06-16T00:00:00Z
74	IE36053	3	TC	2025-05-26T00:00:00Z	2025-06-16T00:00:00Z
76	IE36020	3	TC	2025-05-26T00:00:00Z	2025-06-16T00:00:00Z
78	IE36024	3	TC	2025-05-26T00:00:00Z	2025-06-16T00:00:00Z
83	IE36022	3	TC	2025-05-26T00:00:00Z	2025-06-16T00:00:00Z
