"","Facet_Group","DateType","Minimum","Maximum","Average","n","sd_dtemp","se_temp"
"1","Cold","Baseline",4.99817144357743,14.0810793349437,10.1534852108532,188,2.48786453594893,0.181446169692052
"2","Cold","Secondary + 1",0.441042097998626,19.3679428768066,10.3902015833566,1006,4.00433168360794,0.12624990298737
"3","NoCo - C1","Baseline",1.8482852288174,16.5445247614038,9.21812014943382,956,3.57309522383967,0.115562158275713
"4","NoCo - C1","Secondary + 1",2.54463906214774,17.3731422745809,11.0023861691358,288,3.15331117946653,0.185810643182678
"5","NoCo - C1","Secondary + 2",5.5416517622304,17.5465374614864,11.0937751683669,288,3.06870570917477,0.18082521803528
"6","NoCo - C1","Secondary + 3",1.33063593112823,18.0454993612384,9.04964897048362,288,3.61190165113409,0.21283334587465
"7","NoCo - C2","Baseline",-4.61667942651518,14.44369747542,6.86797382351663,576,4.06548957310418,0.169395398879341
"8","NoCo - C2","Secondary + 1",-4.1268155441589,15.3123119508658,7.74484205128093,288,5.1798058412866,0.305222986300287
"9","NoCo - C2","Secondary + 2",-3.60383126965687,15.44469747542,9.03593517360772,288,4.18936223455416,0.246860537075006
"10","NoCo - C2","Secondary + 3",-6.11739146572975,15.300858398021,6.98701481818603,288,5.21582511313719,0.307345442248533
"11","Sham - C1","Baseline",-6.78176848411314,15.8296595131569,7.94106161757085,939,4.49851210978483,0.146803394499993
"12","Sham - C1","Secondary + 1",-4.77469424433154,15.3331966330477,8.44821689502792,288,4.40505468779734,0.259570336769924
"13","Sham - C1","Secondary + 2",-1.28676848411314,16.8271223932661,9.46182684725255,288,4.66541174902016,0.274912023729962
"14","Sham - C1","Secondary + 3",-4.29030560400394,15.9804506081811,8.00381035732235,288,4.64889773231375,0.273938925963485
"15","Sham - C2","Baseline",-5.26420633838814,15.8279497359005,8.81138551651584,604,3.81594546820689,0.155268619066344
"16","Sham - C2","Secondary + 1",2.8488187691932,16.3279497359005,9.53894370848473,288,3.73576859471325,0.220132275522123
"17","Sham - C2","Secondary + 2",-1.6469022754806,16.3279497359005,9.44677005683316,288,3.9308996723084,0.231630484537771
"18","Sham - C2","Secondary + 3",0.350958246856301,16.3490055595729,9.44558053233588,288,3.81602405070204,0.224861373618531
