No.s,Time,T1,Unit
1,8:49:35,24.4,C
2,8:49:50,25.2,C
3,8:50:05,25.5,C
4,8:50:20,25.8,C
5,8:50:35,25.8,C
6,8:50:50,26,C
7,8:51:05,26.1,C
8,8:51:20,26.2,C
9,8:51:35,26.2,C
10,8:51:50,26.3,C
11,8:52:05,26.4,C
12,8:52:20,26.4,C
13,8:52:35,26.5,C
14,8:52:50,26.8,C
15,8:53:05,26.8,C
16,8:53:20,26.7,C
17,8:53:35,26.8,C
18,8:53:50,26.8,C
19,8:54:05,26.8,C
20,8:54:20,25.4,C
21,8:54:35,23.4,C
22,8:54:50,21.8,C
23,8:55:05,20.6,C
24,8:55:20,19.7,C
25,8:55:35,19.1,C
26,8:55:50,18.6,C
27,8:56:05,18.2,C
28,8:56:20,17.9,C
29,8:56:35,17.8,C
30,8:56:50,17.6,C
31,8:57:05,17.2,C
32,8:57:20,16.9,C
33,8:57:35,16.7,C
34,8:57:50,16.5,C
35,8:58:05,16.3,C
36,8:58:20,16.1,C
37,8:58:35,16,C
38,8:58:50,15.9,C
39,8:59:05,15.7,C
40,8:59:20,15.6,C
41,8:59:35,15.5,C
42,8:59:50,15.3,C
43,9:00:05,15.3,C
44,9:00:20,15.2,C
45,9:00:35,15.1,C
46,9:00:50,15,C
47,9:01:05,14.9,C
48,9:01:20,14.7,C
49,9:01:35,14.6,C
50,9:01:50,14.6,C
51,9:02:05,14.4,C
52,9:02:20,14.3,C
53,9:02:35,14.2,C
54,9:02:50,14.2,C
55,9:03:05,14.1,C
56,9:03:20,14,C
57,9:03:35,13.9,C
58,9:03:50,13.9,C
59,9:04:05,13.7,C
60,9:04:20,13.7,C
61,9:04:35,13.6,C
62,9:04:50,13.5,C
63,9:05:05,13.4,C
64,9:05:20,13.4,C
65,9:05:35,13.3,C
66,9:05:50,13.3,C
67,9:06:05,13.2,C
68,9:06:20,13.1,C
69,9:06:35,13,C
70,9:06:50,12.9,C
71,9:07:05,12.9,C
72,9:07:20,12.8,C
73,9:07:35,12.8,C
74,9:07:50,12.7,C
75,9:08:05,12.7,C
76,9:08:20,12.4,C
77,9:08:35,12.4,C
78,9:08:50,12.4,C
79,9:09:05,12.3,C
80,9:09:20,12.2,C
81,9:09:35,12.2,C
82,9:09:50,12.2,C
83,9:10:05,12.1,C
84,9:10:20,12.1,C
85,9:10:35,11.9,C
86,9:10:50,11.9,C
87,9:11:05,11.8,C
88,9:11:20,11.8,C
89,9:11:35,11.8,C
90,9:11:50,11.7,C
91,9:12:05,11.6,C
92,9:12:20,11.6,C
93,9:12:35,11.5,C
94,9:12:50,11.4,C
95,9:13:05,11.4,C
96,9:13:20,11.4,C
97,9:13:35,11.2,C
98,9:13:50,11.2,C
99,9:14:05,11.2,C
100,9:14:20,11.1,C
101,9:14:35,11.2,C
102,9:14:50,11.1,C
103,9:15:05,11,C
104,9:15:20,10.9,C
105,9:15:35,10.8,C
106,9:15:50,10.8,C
107,9:16:05,10.8,C
108,9:16:20,10.7,C
109,9:16:35,10.7,C
110,9:16:50,10.6,C
111,9:17:05,10.6,C
112,9:17:20,10.5,C
113,9:17:35,10.4,C
114,9:17:50,10.6,C
115,9:18:05,10.5,C
116,9:18:20,10.4,C
117,9:18:35,10.4,C
118,9:18:50,10.3,C
119,9:19:05,10.2,C
120,9:19:20,10.2,C
121,9:19:35,10.2,C
122,9:19:50,10.2,C
123,9:20:05,10.1,C
124,9:20:20,10.1,C
125,9:20:35,10.1,C
126,9:20:50,10,C
127,9:21:05,9.9,C
128,9:21:20,9.9,C
129,9:21:35,9.9,C
130,9:21:50,9.8,C
131,9:22:05,9.8,C
132,9:22:20,9.8,C
133,9:22:35,9.8,C
134,9:22:50,9.7,C
135,9:23:05,9.7,C
136,9:23:20,9.6,C
137,9:23:35,9.6,C
138,9:23:50,9.6,C
139,9:24:05,9.5,C
140,9:24:20,9.6,C
141,9:24:35,9.6,C
142,9:24:50,9.5,C
