Treatment,Cohort,DateType,Minimum,Maximum,Average
Cold,3,Baseline,5.0°C,14.1°C,10.2 ± 2.5°C
Cold,3,Secondary + 1,0.4°C,19.4°C,10.4 ± 4.0°C
NoCo,1,Baseline,1.8°C,16.5°C,9.2 ± 3.6°C
NoCo,1,Secondary + 1,2.5°C,17.4°C,11.0 ± 3.2°C
NoCo,1,Secondary + 2,5.5°C,17.5°C,11.1 ± 3.1°C
NoCo,1,Secondary + 3,1.3°C,18.0°C,9.0 ± 3.6°C
NoCo,2,Baseline,-4.6°C,14.4°C,6.9 ± 4.1°C
NoCo,2,Secondary + 1,-4.1°C,15.3°C,7.7 ± 5.2°C
NoCo,2,Secondary + 2,-3.6°C,15.4°C,9.0 ± 4.2°C
NoCo,2,Secondary + 3,-6.1°C,15.3°C,7.0 ± 5.2°C
Sham,1,Baseline,-6.8°C,15.8°C,7.9 ± 4.5°C
Sham,1,Secondary + 1,-4.8°C,15.3°C,8.4 ± 4.4°C
Sham,1,Secondary + 2,-1.3°C,16.8°C,9.5 ± 4.7°C
Sham,1,Secondary + 3,-4.3°C,16.0°C,8.0 ± 4.6°C
Sham,2,Baseline,-5.3°C,15.8°C,8.8 ± 3.8°C
Sham,2,Secondary + 1,2.8°C,16.3°C,9.5 ± 3.7°C
Sham,2,Secondary + 2,-1.6°C,16.3°C,9.4 ± 3.9°C
Sham,2,Secondary + 3,0.4°C,16.3°C,9.4 ± 3.8°C
