Bat_ID,DateType,Minimum,Maximum,Average
64,Basal TC,17.9,36.7,26.7 ± 4.7
64,Pre-2,22.5,37.8,30.5 ± 4.0
64,Pre-4,24.5,36.7,29.6 ± 3.1
64,Primary,23,36.7,30.0 ± 3.6
64,Primary + 1,25,37.3,34.5 ± 2.4
64,Primary + 2,31.1,37.8,33.8 ± 1.8
64,Primary + 3,30.6,37.3,33.6 ± 1.9
64,Primary - 1,24.5,37.3,31.5 ± 3.8
68,Basal TC,19.2,36.3,28.7 ± 4.5
68,Pre-2,26.7,38.8,33.6 ± 2.4
68,Pre-4,25.2,37.3,31.0 ± 3.2
68,Primary,29.2,36.3,32.7 ± 1.8
68,Primary + 1,31.3,37.8,34.4 ± 1.2
68,Primary + 2,30.7,37.8,34.5 ± 1.3
68,Primary + 3,30.7,38.3,33.1 ± 1.6
68,Primary - 1,29.2,38.3,33.1 ± 2.3
74,Basal TC,19.4,35.4,29.4 ± 5.2
74,Pre-2,26.9,37.4,33.6 ± 2.2
74,Pre-4,27.4,35.9,32.6 ± 2.2
74,Primary,23.9,36.4,32.3 ± 2.5
74,Primary + 1,29.9,38.4,34.6 ± 1.5
74,Primary + 2,31.4,37.9,34.7 ± 1.4
74,Primary + 3,29.9,37.4,33.2 ± 1.9
74,Primary - 1,27.4,38.9,32.6 ± 2.8
