Treatment,DateType,Group,Avg Minimum,Avg Maximum ,Average,n,,,,,,,
Cold,Baseline,3,32.5 ± 0.6°C,38.3 ± 0.2°C,35.7 ± 0.4°C,5,,,,,,,
Cold,Secondary,3,31.0 ± 0.5°C,37.3 ± 0.2°C,34.3 ± 0.2°C,7,,,,,,,
Cold,Secondary + 1,3,28.2 ± 1.0°C,37.7 ± 0.4°C,32.9 ± 0.4°C,7,,,,,,,
Cold,Secondary - 1,3,31.0 ± 0.9°C,37.8 ± 0.3°C,34.9 ± 0.2°C,6,,,,,,,
NoCo,Baseline,1,31.0 ± 0.6°C,36.8 ± 0.8°C,33.7 ± 0.2°C,2,Sham,Baseline,1,25.7 ± 1.9°C,37.3 ± 0.7°C,32.4 ± 0.7°C,2
NoCo,Baseline,2,24.1 ± 0.8°C,38.2 ± 0.2°C,31.9 ± 0.2°C,2,Sham,Baseline,2,23.6 ± 0.7°C,38.2 ± 0.3°C,33.7 ± 0.7°C,2
NoCo,Bleed,1,30.5 ± 0.1°C,37.0 ± 0.1°C,33.3 ± 0.6°C,2,Sham,Bleed,1,28.2 ± 2.9°C,37.5 ± 0.1°C,32.9 ± 0.7°C,2
NoCo,Secondary,1,32.0 ± 0.9°C,37.0 ± 0.4°C,34.5 ± 0.8°C,2,Sham,Secondary,1,25.4 ± 3.6°C,36.7 ± 0.2°C,31.7 ± 1.4°C,2
NoCo,Secondary,2,25.4 ± 2.9°C,36.7 ± 1.2°C,32.0 ± 2.5°C,2,Sham,Secondary,2,26.1 ± 0.2°C,37.2 ± 0.7°C,32.5 ± 0.7°C,2
NoCo,Secondary + 1,1,32.5 ± 0.4°C,37.3 ± 0.7°C,34.7 ± 0.3°C,2,Sham,Secondary + 1,1,26.7 ± 1.9°C,37.0 ± 0.1°C,32.2 ± 0.8°C,2
NoCo,Secondary + 1,2,24.9 ± 1.9°C,38.2 ± 0.7°C,32.0 ± 1.8°C,2,Sham,Secondary + 1,2,30.4 ± 0.5°C,37.7 ± 0.3°C,33.8 ± 0.8°C,2
NoCo,Secondary + 2,1,31.5 ± 0.1°C,36.3 ± 0.8°C,34.0 ± 0.0°C,2,Sham,Secondary + 2,1,26.9 ± 3.1°C,36.5 ± 0.6°C,32.3 ± 1.5°C,2
NoCo,Secondary + 2,2,29.7 ± 2.7°C,37.2 ± 0.7°C,33.5 ± 1.3°C,2,Sham,Secondary + 2,2,29.7 ± 1.2°C,37.9 ± 0.0°C,33.9 ± 0.6°C,2
NoCo,Secondary + 3,1,29.5 ± 0.6°C,36.8 ± 0.8°C,33.3 ± 0.3°C,2,Sham,Secondary + 3,1,27.7 ± 4.4°C,37.2 ± 0.3°C,32.3 ± 2.0°C,2
NoCo,Secondary + 3,2,25.1 ± 1.2°C,38.2 ± 0.2°C,31.7 ± 1.5°C,2,Sham,Secondary + 3,2,30.7 ± 1.2°C,37.7 ± 1.2°C,34.2 ± 1.0°C,2
NoCo,Secondary - 1,1,31.0 ± 0.9°C,36.3 ± 0.3°C,33.8 ± 0.4°C,2,Sham,Secondary - 1,1,22.7 ± 2.4°C,37.2 ± 0.3°C,30.3 ± 1.2°C,2
NoCo,Secondary - 1,2,31.9 ± 0.9°C,38.7 ± 0.7°C,34.7 ± 1.2°C,2,Sham,Secondary - 1,2,32.4 ± 0.5°C,38.4 ± 0.5°C,35.3 ± 0.4°C,2
Sham,Baseline,1,25.7 ± 1.9°C,37.3 ± 0.7°C,32.4 ± 0.7°C,2,,,,,,,
Sham,Baseline,2,23.6 ± 0.7°C,38.2 ± 0.3°C,33.7 ± 0.7°C,2,,,,,,,
Sham,Bleed,1,28.2 ± 2.9°C,37.5 ± 0.1°C,32.9 ± 0.7°C,2,,,,,,,
Sham,Secondary,1,25.4 ± 3.6°C,36.7 ± 0.2°C,31.7 ± 1.4°C,2,,,,,,,
Sham,Secondary,2,26.1 ± 0.2°C,37.2 ± 0.7°C,32.5 ± 0.7°C,2,,,,,,,
Sham,Secondary + 1,1,26.7 ± 1.9°C,37.0 ± 0.1°C,32.2 ± 0.8°C,2,,,,,,,
Sham,Secondary + 1,2,30.4 ± 0.5°C,37.7 ± 0.3°C,33.8 ± 0.8°C,2,,,,,,,
Sham,Secondary + 2,1,26.9 ± 3.1°C,36.5 ± 0.6°C,32.3 ± 1.5°C,2,,,,,,,
Sham,Secondary + 2,2,29.7 ± 1.2°C,37.9 ± 0.0°C,33.9 ± 0.6°C,2,,,,,,,
Sham,Secondary + 3,1,27.7 ± 4.4°C,37.2 ± 0.3°C,32.3 ± 2.0°C,2,,,,,,,
Sham,Secondary + 3,2,30.7 ± 1.2°C,37.7 ± 1.2°C,34.2 ± 1.0°C,2,,,,,,,
Sham,Secondary - 1,1,22.7 ± 2.4°C,37.2 ± 0.3°C,30.3 ± 1.2°C,2,,,,,,,
Sham,Secondary - 1,2,32.4 ± 0.5°C,38.4 ± 0.5°C,35.3 ± 0.4°C,2,,,,,,,
