Bat ID	BUTT ID	Serial Number	Status	Group	Location	Attachment Date	Removal_Date	Trim_Date	Notes	Filename
MST60063	24AS10	7F000000818B3741	Downloaded	eVLP+cGAMP	Downstairs	2024-11-14T00:00:00Z	2024-11-21	2024-11-20	NA	MST60063_7F000000818B3741_120324.csv
MST60066	24AS26	FF00000081816941	Downloaded	eVLP+cGAMP	Upstairs	2024-11-15T00:00:00Z	2024-11-27	2024-11-26	NA	MST60066_FF00000081816941_120324.csv
MST60069	24AS41	7E00000081837A41	Downloaded	eVLP+PolyI:C	Downstairs	2024-11-14T00:00:00Z	2024-11-20	2024-11-19	NA	MST60069_7E00000081837A41_121124.csv
MST60070	24AS12	B40000008187B741	Downloaded	eVLP+LPS	Upstairs	2024-11-15T00:00:00Z	2024-11-25	2024-11-24	NA	MST60070_B40000008187B741_120324.csv
MST60075	24AS06	5C00000081851641	Downloaded	eVLP+cGAMP	Upstairs	2024-11-15T00:00:00Z	2024-11-27	2024-11-26	NA	MST60075_5C00000081851641_120324.csv
MST60076	24AS14	DF00000081814041	Downloaded	SHAM	Downstairs	2024-11-14T00:00:00Z	2024-11-25	2024-11-24	NA	MST60076_DF00000081814041_120324.csv
MST60089	24AS42	3D000000818A6F41	Downloaded	eVLP+PolyI:C	Upstairs	2024-11-15T00:00:00Z	2024-11-24	2024-11-23	NA	MST60089_3D000000818A6F41_121124.csv
MST60090	24AS20	9A00000081838341	Downloaded	eVLP+LPS	Upstairs	2024-11-15T00:00:00Z	2024-11-27	2024-11-26	NA	MST60090_9A00000081838341_120324.csv
MST60094	24AS34	06000000818A0441	Downloaded	SHAM	Upstairs	2024-11-15T00:00:00Z	2024-11-22	2024-11-21	NA	MST60094_06000000818A0441_120324.csv
MST60096	24AS03	1C00000081866F41	Downloaded	eVLP alone	Upstairs	2024-11-15T00:00:00Z	2024-11-27	2024-11-26	NA	MST60096_1C00000081866F41_120324.csv
MST60101	24AS36	0C00000081829341	Downloaded	eVLP+cGAMP	Downstairs	2024-11-14T00:00:00Z	2024-11-20	2024-11-19	NA	MST60101_0C00000081829341_120324.csv
MST60104	24AS29	8D000000818A7A41	Downloaded	eVLP alone	Upstairs	2024-11-15T00:00:00Z	2024-11-27	2024-11-26	NA	MST60104_8D000000818A7A41_120324.csv
MST60110	24AS07	770000008187D741	Downloaded	eVLP+cGAMP	Downstairs	2024-11-14T00:00:00Z	2024-11-25	2024-11-24	NA	MST60110_770000008187D741_121124.csv
MST60126	24AS21	BB000000818AFE41	Downloaded	eVLP+cGAMP	Upstairs	2024-11-15T00:00:00Z	2024-11-27	2024-11-26	75% confident with ID	MST60126_BB000000818AFE41_121124.csv
MST60136	24AS18	B5000000818B9E41	Downloaded	eVLP+cGAMP	Downstairs	2024-11-14T00:00:00Z	2024-11-25	2024-11-24	NA	MST60136_B5000000818B9E41_121124.csv
MST60139	24AS25	1200000081836B41	Downloaded	eVLP alone	Upstairs	2024-11-15T00:00:00Z	2024-11-27	2024-11-26	NA	MST60139_1200000081836B41_120324.csv
MST60142	24AS35	CB0000008183CC41	Downloaded	eVLP alone	Downstairs	2024-11-14T00:00:00Z	2024-11-25	2024-11-24	NA	MST60142_CB0000008183CC41_120324.csv
MST60149	24AS33	D8000000818C4541	Downloaded	eVLP alone	Downstairs	2024-11-14T00:00:00Z	2024-11-25	2024-11-25	NA	MST60149_D8000000818C4541_120324.csv
MST60157	24AS22	CD00000081881A41	Downloaded	eVLP+LPS	Downstairs	2024-11-14T00:00:00Z	2024-11-25	2024-11-25	NA	MST60157_CD00000081881A41_120324.csv
MST60158	24AS24	2300000081816D41	Downloaded	eVLP+PolyI:C	Upstairs	2024-11-15T00:00:00Z	2024-11-27	2024-11-26	NA	MST60158_2300000081816D41_120324.csv
MST60085	24AS31	4600000081838741	Downloaded	eVLP+PolyI:C	Downstairs	2024-11-14T00:00:00Z	2024-11-23	2024-11-22	NA	MST60085_4600000081838741_121124.csv
