1-Wire/iButton Part Number: DS2422
1-Wire/iButton Registration Number: 5C00000081851641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Nov 08 09:57:01 EST 2024
Mission Sample Count:  3634
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Nov 08 09:57:01 EST 2024
Total Mission Samples:  3634
Total Device Samples:  3650
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/8/24 9:57:01 AM,C,21
11/8/24 10:07:01 AM,C,20
11/8/24 10:17:01 AM,C,20
11/8/24 10:27:01 AM,C,20
11/8/24 10:37:01 AM,C,19.5
11/8/24 10:47:01 AM,C,19.5
11/8/24 10:57:01 AM,C,19.5
11/8/24 11:07:01 AM,C,20
11/8/24 11:17:01 AM,C,20
11/8/24 11:27:01 AM,C,20
11/8/24 11:37:01 AM,C,19.5
11/8/24 11:47:01 AM,C,19.5
11/8/24 11:57:01 AM,C,19.5
11/8/24 12:07:01 PM,C,19.5
11/8/24 12:17:01 PM,C,19.5
11/8/24 12:27:01 PM,C,19.5
11/8/24 12:37:01 PM,C,19.5
11/8/24 12:47:01 PM,C,20
11/8/24 12:57:01 PM,C,20
11/8/24 1:07:01 PM,C,20
11/8/24 1:17:01 PM,C,20
11/8/24 1:27:01 PM,C,20
11/8/24 1:37:01 PM,C,20
11/8/24 1:47:01 PM,C,20
11/8/24 1:57:01 PM,C,20
11/8/24 2:07:01 PM,C,20
11/8/24 2:17:01 PM,C,20
11/8/24 2:27:01 PM,C,20
11/8/24 2:37:01 PM,C,19.5
11/8/24 2:47:01 PM,C,20
11/8/24 2:57:01 PM,C,20
11/8/24 3:07:01 PM,C,20
11/8/24 3:17:01 PM,C,20
11/8/24 3:27:01 PM,C,19.5
11/8/24 3:37:01 PM,C,19.5
11/8/24 3:47:01 PM,C,19.5
11/8/24 3:57:01 PM,C,19.5
11/8/24 4:07:01 PM,C,19.5
11/8/24 4:17:01 PM,C,20
11/8/24 4:27:01 PM,C,20
11/8/24 4:37:01 PM,C,20
11/8/24 4:47:01 PM,C,20
11/8/24 4:57:01 PM,C,19.5
11/8/24 5:07:01 PM,C,19.5
11/8/24 5:17:01 PM,C,20
11/8/24 5:27:01 PM,C,20
11/8/24 5:37:01 PM,C,20
11/8/24 5:47:01 PM,C,20
11/8/24 5:57:01 PM,C,20
11/8/24 6:07:01 PM,C,20
11/8/24 6:17:01 PM,C,20
11/8/24 6:27:01 PM,C,20
11/8/24 6:37:01 PM,C,20
11/8/24 6:47:01 PM,C,20
11/8/24 6:57:01 PM,C,20
11/8/24 7:07:01 PM,C,19.5
11/8/24 7:17:01 PM,C,20
11/8/24 7:27:01 PM,C,20
11/8/24 7:37:01 PM,C,20
11/8/24 7:47:01 PM,C,20
11/8/24 7:57:01 PM,C,20
11/8/24 8:07:01 PM,C,19.5
11/8/24 8:17:01 PM,C,19.5
11/8/24 8:27:01 PM,C,20
11/8/24 8:37:01 PM,C,19.5
11/8/24 8:47:01 PM,C,19.5
11/8/24 8:57:01 PM,C,19.5
11/8/24 9:07:01 PM,C,19.5
11/8/24 9:17:01 PM,C,19.5
11/8/24 9:27:01 PM,C,19.5
11/8/24 9:37:01 PM,C,19.5
11/8/24 9:47:01 PM,C,19.5
11/8/24 9:57:01 PM,C,19.5
11/8/24 10:07:01 PM,C,19.5
11/8/24 10:17:01 PM,C,19
11/8/24 10:27:01 PM,C,19
11/8/24 10:37:01 PM,C,19
11/8/24 10:47:01 PM,C,19
11/8/24 10:57:01 PM,C,19
11/8/24 11:07:01 PM,C,19
11/8/24 11:17:01 PM,C,19
11/8/24 11:27:01 PM,C,19
11/8/24 11:37:01 PM,C,19
11/8/24 11:47:01 PM,C,19
11/8/24 11:57:01 PM,C,19
11/9/24 12:07:01 AM,C,19
11/9/24 12:17:01 AM,C,19
11/9/24 12:27:01 AM,C,19
11/9/24 12:37:01 AM,C,19
11/9/24 12:47:01 AM,C,19
11/9/24 12:57:01 AM,C,19
11/9/24 1:07:01 AM,C,18.5
11/9/24 1:17:01 AM,C,18.5
11/9/24 1:27:01 AM,C,18.5
11/9/24 1:37:01 AM,C,18.5
11/9/24 1:47:01 AM,C,18.5
11/9/24 1:57:01 AM,C,18.5
11/9/24 2:07:01 AM,C,18.5
11/9/24 2:17:01 AM,C,18.5
11/9/24 2:27:01 AM,C,18.5
11/9/24 2:37:01 AM,C,18.5
11/9/24 2:47:01 AM,C,18.5
11/9/24 2:57:01 AM,C,18.5
11/9/24 3:07:01 AM,C,18.5
11/9/24 3:17:01 AM,C,18.5
11/9/24 3:27:01 AM,C,18.5
11/9/24 3:37:01 AM,C,18.5
11/9/24 3:47:01 AM,C,18.5
11/9/24 3:57:01 AM,C,18
11/9/24 4:07:01 AM,C,18
11/9/24 4:17:01 AM,C,18
11/9/24 4:27:01 AM,C,18
11/9/24 4:37:01 AM,C,18
11/9/24 4:47:01 AM,C,18
11/9/24 4:57:01 AM,C,18
11/9/24 5:07:01 AM,C,18
11/9/24 5:17:01 AM,C,18
11/9/24 5:27:01 AM,C,18
11/9/24 5:37:01 AM,C,18
11/9/24 5:47:01 AM,C,18
11/9/24 5:57:01 AM,C,18
11/9/24 6:07:01 AM,C,18
11/9/24 6:17:01 AM,C,18
11/9/24 6:27:01 AM,C,18
11/9/24 6:37:01 AM,C,18
11/9/24 6:47:01 AM,C,18
11/9/24 6:57:01 AM,C,18.5
11/9/24 7:07:01 AM,C,18.5
11/9/24 7:17:01 AM,C,19
11/9/24 7:27:01 AM,C,19
11/9/24 7:37:01 AM,C,19
11/9/24 7:47:01 AM,C,19
11/9/24 7:57:01 AM,C,19
11/9/24 8:07:01 AM,C,19
11/9/24 8:17:01 AM,C,19
11/9/24 8:27:01 AM,C,19
11/9/24 8:37:01 AM,C,19
11/9/24 8:47:01 AM,C,19
11/9/24 8:57:01 AM,C,19
11/9/24 9:07:01 AM,C,19
11/9/24 9:17:01 AM,C,19
11/9/24 9:27:01 AM,C,19
11/9/24 9:37:01 AM,C,19
11/9/24 9:47:01 AM,C,19
11/9/24 9:57:01 AM,C,19
11/9/24 10:07:01 AM,C,19
11/9/24 10:17:01 AM,C,19
11/9/24 10:27:01 AM,C,19
11/9/24 10:37:01 AM,C,19.5
11/9/24 10:47:01 AM,C,19.5
11/9/24 10:57:01 AM,C,19.5
11/9/24 11:07:01 AM,C,19
11/9/24 11:17:01 AM,C,19
11/9/24 11:27:01 AM,C,19.5
11/9/24 11:37:01 AM,C,19.5
11/9/24 11:47:01 AM,C,19.5
11/9/24 11:57:01 AM,C,19.5
11/9/24 12:07:01 PM,C,19.5
11/9/24 12:17:01 PM,C,19.5
11/9/24 12:27:01 PM,C,19.5
11/9/24 12:37:01 PM,C,19.5
11/9/24 12:47:01 PM,C,19.5
11/9/24 12:57:01 PM,C,19.5
11/9/24 1:07:01 PM,C,19.5
11/9/24 1:17:01 PM,C,19.5
11/9/24 1:27:01 PM,C,19.5
11/9/24 1:37:01 PM,C,19.5
11/9/24 1:47:01 PM,C,19.5
11/9/24 1:57:01 PM,C,20
11/9/24 2:07:01 PM,C,20
11/9/24 2:17:01 PM,C,20
11/9/24 2:27:01 PM,C,20
11/9/24 2:37:01 PM,C,19.5
11/9/24 2:47:01 PM,C,19.5
11/9/24 2:57:01 PM,C,19.5
11/9/24 3:07:01 PM,C,19.5
11/9/24 3:17:01 PM,C,19.5
11/9/24 3:27:01 PM,C,19.5
11/9/24 3:37:01 PM,C,19.5
11/9/24 3:47:01 PM,C,19.5
11/9/24 3:57:01 PM,C,20
11/9/24 4:07:01 PM,C,20
11/9/24 4:17:01 PM,C,19.5
11/9/24 4:27:01 PM,C,19.5
11/9/24 4:37:01 PM,C,20.5
11/9/24 4:47:01 PM,C,19.5
11/9/24 4:57:01 PM,C,19.5
11/9/24 5:07:01 PM,C,20
11/9/24 5:17:01 PM,C,20
11/9/24 5:27:01 PM,C,20
11/9/24 5:37:01 PM,C,20
11/9/24 5:47:01 PM,C,20
11/9/24 5:57:01 PM,C,19.5
11/9/24 6:07:01 PM,C,19.5
11/9/24 6:17:01 PM,C,20
11/9/24 6:27:01 PM,C,20
11/9/24 6:37:01 PM,C,20
11/9/24 6:47:01 PM,C,20
11/9/24 6:57:01 PM,C,20
11/9/24 7:07:01 PM,C,20
11/9/24 7:17:01 PM,C,20
11/9/24 7:27:01 PM,C,20
11/9/24 7:37:01 PM,C,20
11/9/24 7:47:01 PM,C,20
11/9/24 7:57:01 PM,C,20
11/9/24 8:07:01 PM,C,20
11/9/24 8:17:01 PM,C,20
11/9/24 8:27:01 PM,C,20
11/9/24 8:37:01 PM,C,20
11/9/24 8:47:01 PM,C,20
11/9/24 8:57:01 PM,C,21
11/9/24 9:07:01 PM,C,20.5
11/9/24 9:17:01 PM,C,20
11/9/24 9:27:01 PM,C,20
11/9/24 9:37:01 PM,C,19
11/9/24 9:47:01 PM,C,18.5
11/9/24 9:57:01 PM,C,17.5
11/9/24 10:07:01 PM,C,17.5
11/9/24 10:17:01 PM,C,12.5
11/9/24 10:27:01 PM,C,15.5
11/9/24 10:37:01 PM,C,16
11/9/24 10:47:01 PM,C,16.5
11/9/24 10:57:01 PM,C,17
11/9/24 11:07:01 PM,C,17
11/9/24 11:17:01 PM,C,17.5
11/9/24 11:27:01 PM,C,17.5
11/9/24 11:37:01 PM,C,17.5
11/9/24 11:47:01 PM,C,17.5
