1-Wire/iButton Part Number: DS2422
1-Wire/iButton Registration Number: 06000000818A0441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Nov 08 15:38:01 EST 2024
Mission Sample Count:  3611
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Nov 08 15:38:01 EST 2024
Total Mission Samples:  3611
Total Device Samples:  3699
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/8/24 3:38:01 PM,C,20.5
11/8/24 3:48:01 PM,C,20.5
11/8/24 3:58:01 PM,C,20
11/8/24 4:08:01 PM,C,20
11/8/24 4:18:01 PM,C,20
11/8/24 4:28:01 PM,C,20
11/8/24 4:38:01 PM,C,20
11/8/24 4:48:01 PM,C,20
11/8/24 4:58:01 PM,C,20
11/8/24 5:08:01 PM,C,20
11/8/24 5:18:01 PM,C,20
11/8/24 5:28:01 PM,C,20.5
11/8/24 5:38:01 PM,C,20
11/8/24 5:48:01 PM,C,20
11/8/24 5:58:01 PM,C,20
11/8/24 6:08:01 PM,C,20
11/8/24 6:18:01 PM,C,20
11/8/24 6:28:01 PM,C,20.5
11/8/24 6:38:01 PM,C,20.5
11/8/24 6:48:01 PM,C,20
11/8/24 6:58:01 PM,C,20
11/8/24 7:08:01 PM,C,20
11/8/24 7:18:01 PM,C,20
11/8/24 7:28:01 PM,C,20
11/8/24 7:38:01 PM,C,20
11/8/24 7:48:01 PM,C,20
11/8/24 7:58:01 PM,C,20
11/8/24 8:08:01 PM,C,20
11/8/24 8:18:01 PM,C,20
11/8/24 8:28:01 PM,C,20
11/8/24 8:38:01 PM,C,20.5
11/8/24 8:48:01 PM,C,20
11/8/24 8:58:01 PM,C,20
11/8/24 9:08:01 PM,C,20
11/8/24 9:18:01 PM,C,20
11/8/24 9:28:01 PM,C,20
11/8/24 9:38:01 PM,C,20
11/8/24 9:48:01 PM,C,20
11/8/24 9:58:01 PM,C,20
11/8/24 10:08:01 PM,C,20
11/8/24 10:18:01 PM,C,20
11/8/24 10:28:01 PM,C,20
11/8/24 10:38:01 PM,C,20
11/8/24 10:48:01 PM,C,19.5
11/8/24 10:58:01 PM,C,19.5
11/8/24 11:08:01 PM,C,19.5
11/8/24 11:18:01 PM,C,19.5
